time ,EX,LNEX,IM,LNIM,RER,LNRER,FDI,LNFDI,平减后的GDP,LNGDP
2004-01,357.12,2.55,357.37,2.55,8.79,0.94,43.66,1.64,4143.50,3.62
2004-02,341.58,2.53,420.3,2.62,8.85,0.95,87.17,1.94,4500.89,3.65
2004-03,458.48,2.66,463.88,2.67,8.89,0.95,146.71,2.17,4665.84,3.67
2004-04,471.24,2.67,493.74,2.69,8.87,0.95,205.24,2.31,4499.44,3.65
2004-05,448.68,2.65,427.65,2.63,8.93,0.95,,,4550.57,3.66
2004-06,504.96,2.70,486.53,2.69,9.02,0.96,,,4616.57,3.66
2004-07,510.04,2.71,489.72,2.69,9.03,0.96,401.82,2.60,4688.25,3.67
2004-08,514,2.71,469.11,2.67,8.97,0.95,456.37,2.66,4754.27,3.68
2004-09,558.03,2.75,508.11,2.71,8.89,0.95,511.62,2.71,4817.46,3.68
2004-10,525.24,2.72,454.34,2.66,8.93,0.95,561.62,2.75,4905.70,3.69
2004-11,609.25,2.78,510.3,2.71,8.97,0.95,613.35,2.79,5030.91,3.70
2004-12,637.84,2.80,527.08,2.72,8.92,0.95,640.72,2.81,5104.71,3.71
2005-01,507.55,2.71,442.61,2.65,8.89,0.95,,,5212.43,3.72
2005-02,442.73,2.65,399.16,2.60,8.78,0.94,84.2,1.93,5125.31,3.71
2005-03,608.69,2.78,551.36,2.74,8.93,0.95,,,5232.97,3.72
2005-04,621.51,2.79,575.6,2.76,9.02,0.96,183.29,2.26,5327.90,3.73
2005-05,584.27,2.77,494.39,2.69,9.03,0.96,,,5398.27,3.73
2005-06,659.6,2.82,562.82,2.75,9.11,0.96,301.05,2.48,5495.06,3.74
2005-07,655.84,2.82,550.39,2.74,8.96,0.95,,,5684.86,3.75
2005-08,684,2.84,578.07,2.76,8.98,0.95,,,5797.06,3.76
2005-09,701.86,2.85,626.23,2.80,9.01,0.95,457.98,2.66,5904.35,3.77
2005-10,680.92,2.83,560.76,2.75,8.98,0.95,512.54,2.71,5976.86,3.78
2005-11,722.18,2.86,616.87,2.79,8.94,0.95,,,6051.02,3.78
2005-12,754.12,2.88,643.96,2.81,8.85,0.95,,,6121.23,3.79
2006-01,649.89,2.81,554.97,2.74,8.80,0.94,,,6210.52,3.79
2006-02,541.08,2.73,516.84,2.71,8.75,0.94,,,6332.78,3.80
2006-03,780.46,2.89,668.57,2.83,8.86,0.95,,,6435.20,3.81
2006-04,769.48,2.89,664.91,2.82,8.91,0.95,,,6499.19,3.81
2006-05,731.14,2.86,601.1,2.78,8.97,0.95,,,6574.79,3.82
2006-06,813.11,2.91,668.08,2.82,9.01,0.95,,,6675.78,3.82
2006-07,803.37,2.90,657.14,2.82,9.03,0.96,,,6797.97,3.83
2006-08,907.66,2.96,719.7,2.86,9.01,0.95,399.23,2.60,6876.38,3.84
2006-09,916.29,2.96,763.42,2.88,8.86,0.95,459.14,2.66,7008.89,3.85
2006-10,881.27,2.95,642.98,2.81,8.77,0.94,521.6,2.72,7164.43,3.86
2006-11,958.54,2.98,729.26,2.86,8.69,0.94,579.71,2.76,7300.82,3.86
2006-12,940.94,2.97,730.97,2.86,8.55,0.93,735.23,2.87,7417.07,3.87
2007-01,866.2,2.94,707.39,2.85,8.48,0.93,54.1,1.73,7733.16,3.89
2007-02,820.96,2.91,583.39,2.77,8.40,0.92,101.47,2.01,7873.83,3.90
2007-03,834.24,2.92,765.53,2.88,8.49,0.93,165.88,2.22,7993.14,3.90
2007-04,974.5,2.99,806.04,2.91,8.53,0.93,214.56,2.33,8139.50,3.91
2007-05,940.65,2.97,715.91,2.85,8.49,0.93,265.83,2.42,8303.43,3.92
2007-06,1032.68,3.01,763.58,2.88,8.44,0.93,338.63,2.53,8387.59,3.92
2007-07,1077.44,3.03,833.87,2.92,8.31,0.92,391.05,2.59,8467.34,3.93
2007-08,1113.55,3.05,863.81,2.94,8.18,0.91,444.38,2.65,8533.35,3.93
2007-09,1123.73,3.05,885.67,2.95,8.13,0.91,500.27,2.70,8747.76,3.94
2007-10,1077.24,3.03,806.73,2.91,8.08,0.91,571.44,2.76,8927.98,3.95
2007-11,1176.21,3.07,913.4,2.96,7.99,0.90,650.19,2.81,9131.62,3.96
2007-12,1144.16,3.06,917.29,2.96,7.80,0.89,783.39,2.89,9453.36,3.98
2008-01,1096.4,3.04,901.74,2.96,7.63,0.88,114.38,2.06,9748.96,3.99
2008-02,873.68,2.94,788.13,2.90,7.38,0.87,185.64,2.27,9859.24,3.99
2008-03,1089.63,3.04,955.56,2.98,7.40,0.87,281.58,2.45,10194.54,4.01
2008-04,1187.71,3.07,1021.03,3.01,7.41,0.87,360.24,2.56,10375.12,4.02
2008-05,1204.96,3.08,1002.86,3.00,7.44,0.87,439.85,2.64,10672.89,4.03
2008-06,1211.8,3.08,1001.8,3.00,7.45,0.87,537.21,2.73,10969.39,4.04
2008-07,1366.75,3.14,1113.97,3.05,7.46,0.87,623.23,2.79,11174.12,4.05
2008-08,1348.73,3.13,1061.78,3.03,7.42,0.87,695.68,2.84,11380.35,4.06
2008-09,1364.32,3.13,1070.65,3.03,7.40,0.87,764.41,2.88,11442.88,4.06
2008-10,1283.27,3.11,930.88,2.97,7.36,0.87,835.36,2.92,11452.19,4.06
2008-11,1149.87,3.06,748.97,2.87,7.28,0.86,891.03,2.95,11648.76,4.07
2008-12,1111.57,3.05,721.77,2.86,7.22,0.86,952.53,2.98,11805.43,4.07
2009-01,904.54,2.96,513.44,2.71,7.19,0.86,77.58,1.89,11759.26,4.07
2009-02,648.95,2.81,600.54,2.78,7.23,0.86,136.5,2.14,12088.47,4.08
2009-03,902.91,2.96,717.29,2.86,7.27,0.86,222.19,2.35,12152.60,4.08
2009-04,919.35,2.96,788,2.90,7.29,0.86,282.14,2.45,12449.06,4.10
2009-05,887.58,2.95,753.69,2.88,7.33,0.87,347.33,2.54,12610.74,4.10
2009-06,954.11,2.98,871.6,2.94,7.43,0.87,440.11,2.64,12839.19,4.11
2009-07,1054.2,3.02,947.91,2.98,7.42,0.87,495.54,2.70,13042.31,4.12
2009-08,1037.07,3.02,879.95,2.94,7.40,0.87,571.61,2.76,13145.68,4.12
2009-09,1159.38,3.06,1030.06,3.01,7.38,0.87,652.58,2.81,13277.18,4.12
2009-10,1107.62,3.04,867.75,2.94,7.39,0.87,724.37,2.86,13443.53,4.13
2009-11,1136.53,3.06,945.6,2.98,7.37,0.87,795.77,2.90,13490.96,4.13
2009-12,1307.24,3.12,1122.94,3.05,7.29,0.86,918.04,2.96,13504.75,4.13
