,s/n,Sector,Total demands,s/n.1,Sector.1,Total demands.1,s/n.2,Sector.2,Total demands.2,s/n.3,Sector.3,Total demands.3
0,1,,699,0,15,1,69,3,0,0,0,12
1,2,Computer software ,491,0,0,0,20,7,0,0,0,34
2,3,Sales management,2045,0,41,11,178,18,0,0,0,133
3,4,market/marketing,2013,0,44,14,106,13,0,0,0,71
4,5,Sales ,7826,4,145,23,296,8,0,0,0,311
5,6,Computer hardware,100,0,0,0,19,2,0,0,0,1
6,7,Internet development and application,488,0,2,4,36,3,0,0,0,41
7,8,IT-Management,69,0,0,0,7,0,0,0,0,1
8,9,"IT-QM, technical support and more",51,0,0,1,11,2,0,0,0,1
9,10,Communications technology,67,0,12,0,1,2,0,0,0,0
10,11,Electronics/appliances/semiconductor/instrumentation,98,0,0,3,12,9,0,0,0,3
11,12,Finance/auditing/tax,320,0,4,3,106,17,0,0,0,36
12,13,Engineering/machinery/energy,289,0,5,2,41,6,0,0,0,5
13,14,HR,451,0,6,2,139,12,0,0,0,20
14,15,Senior management,19,0,0,0,6,2,0,0,0,5
15,16,Logistics/warehousing,258,3,22,8,21,0,0,0,0,19
16,17,Art/graphics/Animation design,312,0,0,19,33,1,0,0,0,29
17,18,Legal profession/law,26,0,0,0,1,0,0,0,0,10
18,19,Education,308,0,0,0,17,12,0,0,0,1
19,20,Hospital/medical/care,164,0,0,3,12,2,0,0,0,1
20,21,Counsel/consulting,494,0,15,0,15,6,0,0,0,5
21,22,Transportation service,109,6,7,0,0,0,0,0,0,6
22,23,Translation,2,0,0,0,0,2,0,0,0,0
23,24,Construction/infrastructure/gardening,316,0,0,5,39,12,0,0,0,15
24,25,Banking,50,0,2,2,0,0,0,0,0,0
25,26,Office administration/logistics,915,0,17,32,128,20,0,0,0,122
26,27,Customer service and technical support,1124,0,33,6,69,7,0,0,0,35
27,28,Securities/finance/investment,394,0,0,6,10,0,0,0,0,6
28,29,Insurance,864,0,6,0,44,11,0,0,0,10
29,30,Production/operation,105,0,3,4,14,2,0,0,0,6
30,31,QMS/safety/environmental protection,125,2,1,3,12,14,0,0,0,2
31,32,Technical work,799,5,9,4,8,4,0,0,0,84
32,33,Fashion/textile/furs,4,0,0,1,0,0,0,0,0,3
33,34,Procurement,67,0,5,0,10,2,0,0,0,3
34,35,Trade,167,0,1,0,12,4,0,0,0,2
35,36,Biology/chemicals/pharmaceuticals/medical equipment,102,0,1,1,12,6,0,0,0,2
36,37,Advertising,32,0,0,0,7,0,0,0,0,4
37,38,PRs and news media,6,0,0,0,3,0,0,0,0,0
38,39,"Movies, TV and recreation",38,0,0,0,4,2,0,0,0,6
39,40,Literature/screenwriting/writing,10,0,0,0,4,2,0,0,0,0
40,41,Real property,563,0,6,8,24,0,0,0,0,20
41,42,Property management,374,0,0,0,8,0,0,0,0,36
42,43,Restaurants & recreation,324,0,2,0,16,0,0,0,0,42
43,44,Hotels/tourism,18,0,3,0,3,0,0,0,0,3
44,45,Beauty and personal care,64,0,3,0,0,0,0,0,0,11
45,46,General merchandise/chains/retail,415,2,6,2,13,0,0,0,0,17
46,47,Security/housekeeping/other,61,0,0,0,0,0,0,0,0,9
47,48,Graduates,408,0,7,1,23,8,0,0,0,9
48,49,Other,785,5,8,3,97,13,0,0,0,48
