Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Sector,Senior middle school,Technical secondary school,Total demands,Unlimited,季度,month,s/n,season,total_monthes,year
3,0,4,2,0,0,Computer software,0,0,286,18,3stage,9,1,autumn,1,2015
6,0,209,4,0,0,Sales management,29,20,2718,183,3stage,9,2,autumn,1,2015
8,0,94,3,0,0,market/marketing,20,12,2032,108,3stage,9,3,autumn,1,2015
12,0,228,25,0,0,Sales,128,164,9820,389,3stage,9,4,autumn,1,2015
2,0,4,0,0,0,Computer hardware,0,0,24,2,3stage,9,5,autumn,1,2015
1,0,20,0,0,0,Internet development and application,0,0,89,20,3stage,9,6,autumn,1,2015
0,0,4,0,0,0,IT-Management,0,0,20,0,3stage,9,7,autumn,1,2015
0,0,5,0,0,0,"IT-QM, technical support and more",0,0,11,2,3stage,9,8,autumn,1,2015
2,0,0,0,0,0,Communications technology,0,0,2,0,3stage,9,9,autumn,1,2015
8,0,23,0,0,0,Electronics/appliances/semiconductor/instrumentation,1,0,109,2,3stage,9,10,autumn,1,2015
2,0,82,2,0,0,Finance/auditing/tax,13,4,258,47,3stage,9,11,autumn,1,2015
21,0,40,0,0,0,Engineering/machinery/energy,0,1,309,17,3stage,9,12,autumn,1,2015
3,0,67,0,0,0,HR,12,3,268,16,3stage,9,13,autumn,1,2015
4,0,0,0,0,0,Senior management,0,0,59,13,3stage,9,14,autumn,1,2015
2,0,7,2,0,0,Logistics/warehousing,13,2,271,63,3stage,9,15,autumn,1,2015
3,0,26,0,0,0,Art/graphics/Animation design,0,4,152,19,3stage,9,16,autumn,1,2015
7,0,2,0,0,0,Science & Technology,0,0,16,0,3stage,9,17,autumn,1,2015
2,0,0,0,0,0,Legal profession/law,0,0,4,0,3stage,9,18,autumn,1,2015
12,0,24,0,0,0,Education,1,0,248,23,3stage,9,19,autumn,1,2015
0,0,21,0,0,0,Hospital/medical/care,0,1,184,3,3stage,9,20,autumn,1,2015
1,0,30,0,0,0,Counsel/consulting,2,8,466,17,3stage,9,21,autumn,1,2015
0,0,0,8,0,0,Transportation service,4,5,69,22,3stage,9,22,autumn,1,2015
0,0,2,0,0,0,Translation,0,0,6,2,3stage,9,23,autumn,1,2015
15,0,23,0,0,0,Construction/infrastructure/gardening,0,6,317,15,3stage,9,24,autumn,1,2015
10,0,143,3,0,0,Office administration/logistics,8,14,705,118,3stage,9,25,autumn,1,2015
4,0,44,1,0,0,Customer service and technical support,20,11,629,43,3stage,9,26,autumn,1,2015
4,0,24,7,0,0,Securities/finance/investment,9,1,687,39,3stage,9,27,autumn,1,2015
4,0,25,0,0,0,Insurance,7,2,360,6,3stage,9,28,autumn,1,2015
5,0,32,1,0,0,Production/operation,0,4,96,3,3stage,9,29,autumn,1,2015
