Sector,month,total_monthes,国内生产总值,第一产业,第三产业,第二产业
Computer software,9,1,176710.5,18087.5,86957.6,71665.3
Sales management,9,1,176710.5,18087.5,86957.6,71665.3
market/marketing,9,1,176710.5,18087.5,86957.6,71665.3
Sales,9,1,176710.5,18087.5,86957.6,71665.3
Computer hardware,9,1,176710.5,18087.5,86957.6,71665.3
Internet development and application,9,1,176710.5,18087.5,86957.6,71665.3
IT-Management,9,1,176710.5,18087.5,86957.6,71665.3
"IT-QM, technical support and more",9,1,176710.5,18087.5,86957.6,71665.3
Communications technology,9,1,176710.5,18087.5,86957.6,71665.3
Electronics/appliances/semiconductor/instrumentation,9,1,176710.5,18087.5,86957.6,71665.3
Finance/auditing/tax,9,1,176710.5,18087.5,86957.6,71665.3
Engineering/machinery/energy,9,1,176710.5,18087.5,86957.6,71665.3
HR,9,1,176710.5,18087.5,86957.6,71665.3
Senior management,9,1,176710.5,18087.5,86957.6,71665.3
Logistics/warehousing,9,1,176710.5,18087.5,86957.6,71665.3
Art/graphics/Animation design,9,1,176710.5,18087.5,86957.6,71665.3
Science & Technology,9,1,176710.5,18087.5,86957.6,71665.3
Legal profession/law,9,1,176710.5,18087.5,86957.6,71665.3
Education,9,1,176710.5,18087.5,86957.6,71665.3
Hospital/medical/care,9,1,176710.5,18087.5,86957.6,71665.3
Counsel/consulting,9,1,176710.5,18087.5,86957.6,71665.3
Transportation service,9,1,176710.5,18087.5,86957.6,71665.3
Translation,9,1,176710.5,18087.5,86957.6,71665.3
Construction/infrastructure/gardening,9,1,176710.5,18087.5,86957.6,71665.3
Office administration/logistics,9,1,176710.5,18087.5,86957.6,71665.3
Customer service and technical support,9,1,176710.5,18087.5,86957.6,71665.3
Securities/finance/investment,9,1,176710.5,18087.5,86957.6,71665.3
Insurance,9,1,176710.5,18087.5,86957.6,71665.3
Production/operation,9,1,176710.5,18087.5,86957.6,71665.3
QMS/safety/environmental protection,9,1,176710.5,18087.5,86957.6,71665.3
Technical work,9,1,176710.5,18087.5,86957.6,71665.3
Procurement,9,1,176710.5,18087.5,86957.6,71665.3
Trade,9,1,176710.5,18087.5,86957.6,71665.3
Biology/chemicals/pharmaceuticals/medical equipment,9,1,176710.5,18087.5,86957.6,71665.3
Advertising,9,1,176710.5,18087.5,86957.6,71665.3
PRs and news media,9,1,176710.5,18087.5,86957.6,71665.3
"Movies, TV and recreation",9,1,176710.5,18087.5,86957.6,71665.3
Literature/screenwriting/writing,9,1,176710.5,18087.5,86957.6,71665.3
Real property,9,1,176710.5,18087.5,86957.6,71665.3
Property management,9,1,176710.5,18087.5,86957.6,71665.3
Restaurants & recreation,9,1,176710.5,18087.5,86957.6,71665.3
Hotels/tourism,9,1,176710.5,18087.5,86957.6,71665.3
Beauty and personal care,9,1,176710.5,18087.5,86957.6,71665.3
General merchandise/chains/retail,9,1,176710.5,18087.5,86957.6,71665.3
Security/housekeeping/other,9,1,176710.5,18087.5,86957.6,71665.3
Graduates,9,1,176710.5,18087.5,86957.6,71665.3
Other,9,1,176710.5,18087.5,86957.6,71665.3
Computer software,10,2,192851.9,22517.5,91831.6,78502.9
Sales management,10,2,192851.9,22517.5,91831.6,78502.9
market/marketing,10,2,192851.9,22517.5,91831.6,78502.9
Sales,10,2,192851.9,22517.5,91831.6,78502.9
Computer hardware,10,2,192851.9,22517.5,91831.6,78502.9
Internet development and application,10,2,192851.9,22517.5,91831.6,78502.9
IT-Management,10,2,192851.9,22517.5,91831.6,78502.9
"IT-QM, technical support and more",10,2,192851.9,22517.5,91831.6,78502.9
Communications technology,10,2,192851.9,22517.5,91831.6,78502.9
Electronics/appliances/semiconductor/instrumentation,10,2,192851.9,22517.5,91831.6,78502.9
Finance/auditing/tax,10,2,192851.9,22517.5,91831.6,78502.9
Engineering/machinery/energy,10,2,192851.9,22517.5,91831.6,78502.9
HR,10,2,192851.9,22517.5,91831.6,78502.9
Senior management,10,2,192851.9,22517.5,91831.6,78502.9
Logistics/warehousing,10,2,192851.9,22517.5,91831.6,78502.9
Art/graphics/Animation design,10,2,192851.9,22517.5,91831.6,78502.9
Science & Technology,10,2,192851.9,22517.5,91831.6,78502.9
Education,10,2,192851.9,22517.5,91831.6,78502.9
Hospital/medical/care,10,2,192851.9,22517.5,91831.6,78502.9
Counsel/consulting,10,2,192851.9,22517.5,91831.6,78502.9
Transportation service,10,2,192851.9,22517.5,91831.6,78502.9
Translation,10,2,192851.9,22517.5,91831.6,78502.9
Construction/infrastructure/gardening,10,2,192851.9,22517.5,91831.6,78502.9
Office administration/logistics,10,2,192851.9,22517.5,91831.6,78502.9
Customer service and technical support,10,2,192851.9,22517.5,91831.6,78502.9
Securities/finance/investment,10,2,192851.9,22517.5,91831.6,78502.9
Insurance,10,2,192851.9,22517.5,91831.6,78502.9
Production/operation,10,2,192851.9,22517.5,91831.6,78502.9
QMS/safety/environmental protection,10,2,192851.9,22517.5,91831.6,78502.9
Technical work,10,2,192851.9,22517.5,91831.6,78502.9
Procurement,10,2,192851.9,22517.5,91831.6,78502.9
Trade,10,2,192851.9,22517.5,91831.6,78502.9
Biology/chemicals/pharmaceuticals/medical equipment,10,2,192851.9,22517.5,91831.6,78502.9
Advertising,10,2,192851.9,22517.5,91831.6,78502.9
"Movies, TV and recreation",10,2,192851.9,22517.5,91831.6,78502.9
Literature/screenwriting/writing,10,2,192851.9,22517.5,91831.6,78502.9
Real property,10,2,192851.9,22517.5,91831.6,78502.9
Property management,10,2,192851.9,22517.5,91831.6,78502.9
Restaurants & recreation,10,2,192851.9,22517.5,91831.6,78502.9
Hotels/tourism,10,2,192851.9,22517.5,91831.6,78502.9
Beauty and personal care,10,2,192851.9,22517.5,91831.6,78502.9
General merchandise/chains/retail,10,2,192851.9,22517.5,91831.6,78502.9
Security/housekeeping/other,10,2,192851.9,22517.5,91831.6,78502.9
Graduates,10,2,192851.9,22517.5,91831.6,78502.9
Other,10,2,192851.9,22517.5,91831.6,78502.9
Computer software,11,3,192851.9,22517.5,91831.6,78502.9
Sales management,11,3,192851.9,22517.5,91831.6,78502.9
market/marketing,11,3,192851.9,22517.5,91831.6,78502.9
Sales,11,3,192851.9,22517.5,91831.6,78502.9
Computer hardware,11,3,192851.9,22517.5,91831.6,78502.9
Internet development and application,11,3,192851.9,22517.5,91831.6,78502.9
IT-Management,11,3,192851.9,22517.5,91831.6,78502.9
"IT-QM, technical support and more",11,3,192851.9,22517.5,91831.6,78502.9
Communications technology,11,3,192851.9,22517.5,91831.6,78502.9
Electronics/appliances/semiconductor/instrumentation,11,3,192851.9,22517.5,91831.6,78502.9
Finance/auditing/tax,11,3,192851.9,22517.5,91831.6,78502.9
Engineering/machinery/energy,11,3,192851.9,22517.5,91831.6,78502.9
HR,11,3,192851.9,22517.5,91831.6,78502.9
Senior management,11,3,192851.9,22517.5,91831.6,78502.9
Logistics/warehousing,11,3,192851.9,22517.5,91831.6,78502.9
Art/graphics/Animation design,11,3,192851.9,22517.5,91831.6,78502.9
Science & Technology,11,3,192851.9,22517.5,91831.6,78502.9
Legal profession/law,11,3,192851.9,22517.5,91831.6,78502.9
Education,11,3,192851.9,22517.5,91831.6,78502.9
Hospital/medical/care,11,3,192851.9,22517.5,91831.6,78502.9
Counsel/consulting,11,3,192851.9,22517.5,91831.6,78502.9
Transportation service,11,3,192851.9,22517.5,91831.6,78502.9
Translation,11,3,192851.9,22517.5,91831.6,78502.9
Construction/infrastructure/gardening,11,3,192851.9,22517.5,91831.6,78502.9
Office administration/logistics,11,3,192851.9,22517.5,91831.6,78502.9
Customer service and technical support,11,3,192851.9,22517.5,91831.6,78502.9
Securities/finance/investment,11,3,192851.9,22517.5,91831.6,78502.9
Insurance,11,3,192851.9,22517.5,91831.6,78502.9
Production/operation,11,3,192851.9,22517.5,91831.6,78502.9
QMS/safety/environmental protection,11,3,192851.9,22517.5,91831.6,78502.9
Technical work,11,3,192851.9,22517.5,91831.6,78502.9
Fashion/textile/furs,11,3,192851.9,22517.5,91831.6,78502.9
Procurement,11,3,192851.9,22517.5,91831.6,78502.9
Trade,11,3,192851.9,22517.5,91831.6,78502.9
Biology/chemicals/pharmaceuticals/medical equipment,11,3,192851.9,22517.5,91831.6,78502.9
Advertising,11,3,192851.9,22517.5,91831.6,78502.9
"Movies, TV and recreation",11,3,192851.9,22517.5,91831.6,78502.9
Literature/screenwriting/writing,11,3,192851.9,22517.5,91831.6,78502.9
Real property,11,3,192851.9,22517.5,91831.6,78502.9
Property management,11,3,192851.9,22517.5,91831.6,78502.9
