本科以上,本科以下,Sector,Total demands,Unlimited,month,total_monthes
3,6,Computer software,286,18,9,1
6,262,Sales management,2718,183,9,1
8,129,market/marketing,2032,108,9,1
12,545,Sales,9820,389,9,1
2,4,Computer hardware,24,2,9,1
1,20,Internet development and application,89,20,9,1
0,4,IT-Management,20,0,9,1
0,5,"IT-QM, technical support and more",11,2,9,1
2,0,Communications technology,2,0,9,1
8,24,Electronics/appliances/semiconductor/instrumentation,109,2,9,1
2,101,Finance/auditing/tax,258,47,9,1
21,41,Engineering/machinery/energy,309,17,9,1
3,82,HR,268,16,9,1
4,0,Senior management,59,13,9,1
2,24,Logistics/warehousing,271,63,9,1
3,30,Art/graphics/Animation design,152,19,9,1
7,2,Science & Technology,16,0,9,1
2,0,Legal profession/law,4,0,9,1
12,25,Education,248,23,9,1
0,22,Hospital/medical/care,184,3,9,1
1,40,Counsel/consulting,466,17,9,1
0,17,Transportation service,69,22,9,1
0,2,Translation,6,2,9,1
15,29,Construction/infrastructure/gardening,317,15,9,1
10,168,Office administration/logistics,705,118,9,1
4,76,Customer service and technical support,629,43,9,1
4,41,Securities/finance/investment,687,39,9,1
4,34,Insurance,360,6,9,1
5,37,Production/operation,96,3,9,1
1,23,QMS/safety/environmental protection,84,11,9,1
5,50,Technical work,552,41,9,1
0,17,Procurement,43,1,9,1
1,1,Trade,4,0,9,1
6,7,Biology/chemicals/pharmaceuticals/medical equipment,119,4,9,1
3,2,Advertising,10,0,9,1
0,1,PRs and news media,10,3,9,1
2,2,"Movies, TV and recreation",15,3,9,1
0,4,Literature/screenwriting/writing,18,7,9,1
0,54,Real property,1170,22,9,1
0,4,Property management,11,2,9,1
0,53,Restaurants & recreation,741,30,9,1
0,12,Hotels/tourism,197,29,9,1
0,8,Beauty and personal care,327,9,9,1
0,24,General merchandise/chains/retail,422,4,9,1
0,2,Security/housekeeping/other,57,11,9,1
1,23,Graduates,262,6,9,1
1,81,Other,384,52,9,1
4,14,Computer software,186,12,10,2
20,363,Sales management,3257,217,10,2
13,178,market/marketing,2612,146,10,2
14,643,Sales,11264,437,10,2
0,3,Computer hardware,185,8,10,2
3,30,Internet development and application,204,21,10,2
0,8,IT-Management,36,4,10,2
0,6,"IT-QM, technical support and more",34,7,10,2
0,7,Communications technology,33,2,10,2
1,20,Electronics/appliances/semiconductor/instrumentation,81,3,10,2
4,97,Finance/auditing/tax,302,39,10,2
13,55,Engineering/machinery/energy,607,17,10,2
10,124,HR,266,17,10,2
3,7,Senior management,54,4,10,2
2,39,Logistics/warehousing,358,61,10,2
8,58,Art/graphics/Animation design,332,21,10,2
1,0,Science & Technology,1,0,10,2
10,45,Education,341,8,10,2
1,26,Hospital/medical/care,184,4,10,2
1,32,Counsel/consulting,546,33,10,2
0,20,Transportation service,119,21,10,2
2,4,Translation,15,1,10,2
4,31,Construction/infrastructure/gardening,153,6,10,2
22,204,Office administration/logistics,801,143,10,2
2,118,Customer service and technical support,1246,33,10,2
1,58,Securities/finance/investment,1052,49,10,2
6,17,Insurance,287,0,10,2
9,16,Production/operation,74,11,10,2
1,23,QMS/safety/environmental protection,109,6,10,2
3,41,Technical work,880,50,10,2
0,14,Procurement,40,0,10,2
1,0,Trade,2,0,10,2
8,8,Biology/chemicals/pharmaceuticals/medical equipment,100,7,10,2
0,13,Advertising,36,1,10,2
0,0,"Movies, TV and recreation",4,4,10,2
0,12,Literature/screenwriting/writing,175,6,10,2
0,51,Real property,806,31,10,2
0,17,Property management,66,10,10,2
0,14,Restaurants & recreation,467,64,10,2
0,11,Hotels/tourism,54,10,10,2
0,4,Beauty and personal care,130,7,10,2
0,11,General merchandise/chains/retail,168,5,10,2
0,18,Security/housekeeping/other,152,17,10,2
1,69,Graduates,1456,67,10,2
2,90,Other,682,77,10,2
6,22,Computer software,211,17,11,3
7,226,Sales management,2205,156,11,3
4,157,market/marketing,2195,106,11,3
11,586,Sales,8730,279,11,3
0,6,Computer hardware,90,6,11,3
1,43,Internet development and application,258,9,11,3
0,1,IT-Management,142,2,11,3
0,16,"IT-QM, technical support and more",95,6,11,3
1,5,Communications technology,79,4,11,3
11,19,Electronics/appliances/semiconductor/instrumentation,156,4,11,3
0,91,Finance/auditing/tax,195,22,11,3
7,20,Engineering/machinery/energy,63,5,11,3
7,64,HR,210,17,11,3
1,5,Senior management,25,5,11,3
0,36,Logistics/warehousing,301,48,11,3
3,31,Art/graphics/Animation design,129,8,11,3
0,0,Science & Technology,12,2,11,3
0,0,Legal profession/law,8,2,11,3
3,18,Education,106,6,11,3
0,15,Hospital/medical/care,109,3,11,3
0,41,Counsel/consulting,285,13,11,3
0,13,Transportation service,96,12,11,3
6,0,Translation,14,0,11,3
4,25,Construction/infrastructure/gardening,375,24,11,3
5,151,Office administration/logistics,851,90,11,3
0,63,Customer service and technical support,826,37,11,3
0,38,Securities/finance/investment,752,34,11,3
7,34,Insurance,1125,0,11,3
1,9,Production/operation,249,4,11,3
2,25,QMS/safety/environmental protection,67,9,11,3
0,12,Technical work,621,59,11,3
0,1,Fashion/textile/furs,1,0,11,3
0,17,Procurement,53,2,11,3
3,6,Trade,33,2,11,3
9,7,Biology/chemicals/pharmaceuticals/medical equipment,156,27,11,3
0,3,Advertising,10,1,11,3
0,5,"Movies, TV and recreation",13,0,11,3
0,8,Literature/screenwriting/writing,14,1,11,3
0,35,Real property,1218,51,11,3
0,6,Property management,255,12,11,3
0,30,Restaurants & recreation,1125,121,11,3
0,14,Hotels/tourism,303,11,11,3
0,0,Beauty and personal care,118,13,11,3
0,1,General merchandise/chains/retail,23,3,11,3
0,5,Security/housekeeping/other,51,5,11,3
