Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Sector,Senior middle school,Technical secondary school,Total demands,Unlimited,season,month,year
3,0,4,2,0,0,Computer software,0,0,286,18,autumn,9,2015
6,0,209,4,0,0,Sales management,29,20,2718,183,autumn,9,2015
8,0,94,3,0,0,market/marketing,20,12,2032,108,autumn,9,2015
12,0,228,25,0,0,Sales,128,164,9820,389,autumn,9,2015
2,0,4,0,0,0,Computer hardware,0,0,24,2,autumn,9,2015
1,0,20,0,0,0,Internet development and application,0,0,89,20,autumn,9,2015
0,0,4,0,0,0,IT-Management,0,0,20,0,autumn,9,2015
0,0,5,0,0,0,"IT-QM, technical support and more",0,0,11,2,autumn,9,2015
2,0,0,0,0,0,Communications technology,0,0,2,0,autumn,9,2015
8,0,23,0,0,0,Electronics/appliances/semiconductor/instrumentation,1,0,109,2,autumn,9,2015
2,0,82,2,0,0,Finance/auditing/tax,13,4,258,47,autumn,9,2015
21,0,40,0,0,0,Engineering/machinery/energy,0,1,309,17,autumn,9,2015
3,0,67,0,0,0,HR,12,3,268,16,autumn,9,2015
4,0,0,0,0,0,Senior management,0,0,59,13,autumn,9,2015
2,0,7,2,0,0,Logistics/warehousing,13,2,271,63,autumn,9,2015
3,0,26,0,0,0,Art/graphics/Animation design,0,4,152,19,autumn,9,2015
7,0,2,0,0,0,Science & Technology,0,0,16,0,autumn,9,2015
2,0,0,0,0,0,Legal profession/law,0,0,4,0,autumn,9,2015
12,0,24,0,0,0,Education,1,0,248,23,autumn,9,2015
0,0,21,0,0,0,Hospital/medical/care,0,1,184,3,autumn,9,2015
1,0,30,0,0,0,Counsel/consulting,2,8,466,17,autumn,9,2015
0,0,0,8,0,0,Transportation service,4,5,69,22,autumn,9,2015
0,0,2,0,0,0,Translation,0,0,6,2,autumn,9,2015
15,0,23,0,0,0,Construction/infrastructure/gardening,0,6,317,15,autumn,9,2015
10,0,143,3,0,0,Office administration/logistics,8,14,705,118,autumn,9,2015
4,0,44,1,0,0,Customer service and technical support,20,11,629,43,autumn,9,2015
4,0,24,7,0,0,Securities/finance/investment,9,1,687,39,autumn,9,2015
4,0,25,0,0,0,Insurance,7,2,360,6,autumn,9,2015
5,0,32,1,0,0,Production/operation,0,4,96,3,autumn,9,2015
1,0,20,0,0,0,QMS/safety/environmental protection,3,0,84,11,autumn,9,2015
5,0,8,16,0,0,Technical work,16,10,552,41,autumn,9,2015
0,0,11,0,0,0,Procurement,6,0,43,1,autumn,9,2015
1,0,1,0,0,0,Trade,0,0,4,0,autumn,9,2015
6,0,7,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,119,4,autumn,9,2015
3,0,2,0,0,0,Advertising,0,0,10,0,autumn,9,2015
0,0,1,0,0,0,PRs and news media,0,0,10,3,autumn,9,2015
2,0,2,0,0,0,"Movies, TV and recreation",0,0,15,3,autumn,9,2015
0,0,4,0,0,0,Literature/screenwriting/writing,0,0,18,7,autumn,9,2015
0,0,12,42,0,0,Real property,0,0,1170,22,autumn,9,2015
0,0,4,0,0,0,Property management,0,0,11,2,autumn,9,2015
