Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Senior middle school,Technical secondary school,Total demands,Unlimited,Sector_Advertising,Sector_Art/graphics/Animation design,Sector_Banking,Sector_Beauty and personal care,Sector_Biology/chemicals/pharmaceuticals/medical equipment,Sector_Communications technology,Sector_Computer hardware,Sector_Computer software,Sector_Construction/infrastructure/gardening,Sector_Counsel/consulting,Sector_Customer service and technical support,Sector_Education,Sector_Electronics/appliances/semiconductor/instrumentation,Sector_Engineering/machinery/energy,Sector_Fashion/textile/furs,Sector_Finance/auditing/tax,Sector_General merchandise/chains/retail,Sector_Graduates,Sector_HR,Sector_Hospital/medical/care,Sector_Hotels/tourism,Sector_IT-Management,"Sector_IT-QM, technical support and more",Sector_Insurance,Sector_Internet development and application,Sector_Legal profession/law,Sector_Literature/screenwriting/writing,Sector_Logistics/warehousing,"Sector_Movies, TV and recreation",Sector_Office administration/logistics,Sector_Other,Sector_PRs and news media,Sector_Procurement,Sector_Production/operation,Sector_Property management,Sector_QMS/safety/environmental protection,Sector_Real property,Sector_Restaurants & recreation,Sector_Sales,Sector_Sales management,Sector_Science & Technology,Sector_Securities/finance/investment,Sector_Security/housekeeping/other,Sector_Senior management,Sector_Technical work,Sector_Trade,Sector_Translation,Sector_Transportation service,Sector_market/marketing,season_autumn,season_spring,season_summer,season_winter,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2015,year_2016,year_2017,year_2018
3,0,4,2,0,0,0,0,286,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,0,209,4,0,0,29,20,2718,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,0,94,3,0,0,20,12,2032,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,0,228,25,0,0,128,164,9820,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,0,4,0,0,0,0,0,24,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,20,0,0,0,0,0,89,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,5,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,0,23,0,0,0,1,0,109,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
