词性,出现次数
/v/v/v,8661
/d/v/v,19060
/n/v/v,9496
/v/n/v,3842
/n/d/v,17372
/v/v/n,6867
/v/u/n,18117
/v/d/v,6813
/n/v/n,703
/v/v/u,13317
/d/d/v,5786
/u/n/v,9335
/n/u/n,6693
/d/v/u,7732
/n/v/u,4086
/v/u/v,5836
/v/m/q,585
/r/d/v,3412
/u/n/d,1775
/v/r/v,2606
/d/v/r,1629
/d/v/n,438
/v/n/u,500
/a/u/n,1061
/v/v/r,1445
/r/u/n,180
/m/q/n,1514
/r/v/v,260
/v/u/r,694
/v/n/n,322
/n/n/v,400
/v/u/m,283
/r/v/u,16
/n/n/n,192
/n/n/m,180
/n/m/n,172
/n/m/q,158
/u/v/u,99
/n/v/d,13
/u/m/q,98
