词性,出现次数
/n/d/v,11516
/v/u/n,11014
/n/u/n,6709
/u/n/v,5954
/d/v/v,12147
/v/v/u,6791
/n/v/v,3954
/v/d/v,3819
/v/u/v,2249
/v/v/v,5042
/v/v/n,3629
/v/n/v,1330
/a/u/n,1080
/n/v/u,2178
/m/m/m,219
/n/m/m,76
/n/m/n,60
/v/n/m,44
/n/n/m,40
/u/n/m,40
/d/d/v,5782
/d/v/u,4921
/v/r/v,706
/d/v/r,934
/r/d/v,1185
/u/n/d,2848
/v/v/r,1165
/n/d/m,86
/m/n/d,61
/m/q/n,939
/v/u/m,333
/d/v/n,528
/n/v/n,238
/v/m/q,328
/n/nd/n,88
/u/n/n,384
/n/n/n,62
/n/n/v,127
/v/n/n,149
/v/n/u,239
/ws/ws/ws,10
/ws/m/ws,8
/m/ws/ws,5
/d/a/u,2
/ws/ws/m,2
//file1.qidian.com/chapters/20132/2/2404880634953673023101121959554.jpg/ws/d/a,1
//file1.qidian.com/chapters/20135/13/2404880635040007642206031158891.jpg/ws/n/nd,1
//file2.qidian.com/chapters/201211/27/2404880634896064004925376177373.jpg/ws/d/a,1
/a/n/v,1
/a/u/a,1
/d/v/m,2
/ws/d/v,2
//file1.qidian.com/chapters/201111/20/2099680634574232667530447332861.jpg/ws/n/a,1
//file2.qidian.com/chapters/201110/28/2099680634554212187575445992507.jpg/ws/v/u,1
//file2.qidian.com/chapters/201112/19/2099680634599146373540707208628.jpg/ws/n/n,1
/a/u/q,1
/d/n/ws,1
/r/u/n,39
/d/v/d,47
/a/u/v,40
/p/m/q,57
/m/q/d,41
/v/u/r,71
