词性,出现次数
/v/v/v/v/v,55
/n/v/v/v/m,10
/n/n/v/v/v,8
/n/v/v/n/v,16
/n/v/v/v/n,16
/v/n/v/v/v,8
/v/v/m/v/v,8
/v/v/n/n/v,8
/v/v/n/v/u,8
/v/v/v/m/v,8
/n/v/n/v/v,18
/u/n/v/v/v,8
/u/v/v/d/v,8
/u/v/v/v/u,8
/v/n/v/n/v,12
/n/u/p/q/n,6
/n/u/u/v/v,6
/n/v/n/v/n,11
/n/v/r/n/n,6
/v/v/v/v/n,7
/v/n/u/v/v,6
/u/v/v/v/v,5
/v/v/v/d/u,5
/v/v/v/n/n,5
/n/n/v/v/n,4
/u/v/n/v/n,4
/v/d/v/v/n,4
/v/n/n/v/v,4
/v/v/n/v/n,24
/v/v/v/u/v,20
/u/v/d/v/v,8
/v/n/v/v/d,8
/v/v/n/d/v,8
/v/v/v/n/v,14
/v/v/n/v/v,19
/d/v/n/d/n,6
/d/v/v/v/v,18
/v/u/v/n/v,5
/n/v/u/r/v,4
/n/v/v/u/v,4
/u/v/v/v/n,4
/v/d/u/v/n,4
/v/n/r/v/u,4
/v/v/u/v/v,17
/d/v/n/n/d,3
/n/v/v/n/n,6
/v/u/d/v/v,6
/v/v/v/v/r,14
/u/n/n/u/v,5
/v/d/v/v/v,5
/v/n/v/v/n,24
/v/v/d/v/v,5
/n/v/u/v/v,4
/v/u/v/v/v,5
/v/v/u/v/n,5
/u/v/v/u/v,10
/v/d/v/u/v,4
/v/u/v/d/v,4
/v/v/v/n/r,4
/d/v/v/v/n,3
/n/v/a/d/n,3
/n/v/v/v/v,8
/v/m/v/v/v,8
/v/n/n/n/v,8
/v/v/v/n/d,8
/m/m/m/m/m,6
