词性,出现次数
/v/v/v/v,1372
/v/n/v/v,1008
/n/n/v/n,121
/v/v/v/d,147
/v/n/n/v,353
/d/v/n/v,59
/n/v/n/v,569
/n/v/v/v,804
/v/n/v/n,627
/v/v/v/n,943
/n/v/u/v,87
/r/v/v/v,108
/n/n/v/v,247
/n/v/v/n,350
/u/n/v/v,47
/v/u/v/v,263
/n/v/n/u,16
/d/v/v/v,155
/r/n/d/v,5
/u/v/v/v,261
/v/n/v/u,108
/v/v/n/v,947
/v/v/v/u,167
/n/u/v/v,27
/v/n/d/v,79
/v/v/n/d,69
/n/v/v/r,15
/d/n/v/n,31
/v/v/u/v,234
/u/v/n/v,141
/r/v/n/v,53
/v/r/v/n,13
/r/d/v/v,7
/v/n/v/r,14
/v/n/v/d,40
/n/r/v/v,23
/n/v/n/n,143
/n/n/n/v,90
/n/u/n/v,24
/n/d/n/v,17
/d/u/v/v,17
/v/n/u/v,58
/v/v/n/u,37
/r/v/v/n,14
/v/v/d/v,167
/v/v/n/n,208
/d/v/v/n,51
/v/v/r/v,144
/v/d/v/v,131
/n/v/r/u,8
/n/d/v/n,7
/n/d/v/v,28
/v/n/n/n,94
/v/u/v/n,37
/v/v/v/r,32
/n/r/u/v,8
/v/v/u/n,8
/n/d/n/d,6
/n/v/r/v,19
/n/v/u/u,6
/v/n/d/n,28
/n/v/v/d,48
/n/v/v/u,82
/d/v/v/u,7
/v/n/u/u,8
/r/v/u/v,7
/d/n/v/v,19
/n/n/v/u,11
/n/n/u/n,7
/v/d/u/v,18
/d/v/d/v,6
/v/d/v/u,6
/v/d/v/d,7
/v/n/a/v,7
/n/n/n/n,67
/u/r/v/v,7
/v/r/v/r,14
/v/r/v/v,83
/n/u/v/u,6
/u/d/v/v,6
/u/v/v/u,6
/nh/v/v/u,7
/v/u/n/n,9
/n/v/n/d,9
/u/v/v/r,5
/v/u/v/d,15
/v/n/r/n,7
/n/v/n/r,10
/d/n/n/v,17
/v/r/v/d,11
/d/d/v/v,10
/d/v/v/r,10
/v/v/d/u,10
/v/u/d/v,10
/u/v/v/n,38
/v/a/n/v,6
/v/u/n/v,38
/v/v/n/r,11
/d/v/r/v,8
/v/v/r/u,8
/r/v/r/v,7
/v/u/v/u,16
/n/v/d/v,10
/v/m/v/v,9
/d/r/v/v,11
/r/v/v/r,10
/v/v/d/n,10
/u/v/u/v,24
/u/n/v/n,6
/v/n/d/u,6
/u/u/v/v,9
/n/v/u/d,7
/u/v/v/d,9
/u/v/n/n,8
/v/r/n/v,8
/r/n/v/v,21
/v/d/u/d,7
/v/nh/v/v,19
/v/n/r/v,16
