词性,出现次数
/v/n/v/n/n,7
/v/u/u/v/v,6
/v/u/v/v/v,37
/v/v/v/r/v,6
/n/v/n/n/v,11
/v/v/d/v/v,12
/v/v/n/v/v,51
/v/v/v/u/v,10
/n/d/v/n/r,4
/n/n/v/v/v,4
/v/v/v/v/u,15
/u/v/v/v/n,6
/v/v/u/v/n,6
/n/n/v/n/u,5
/u/v/v/n/v,5
/v/v/v/v/v,104
/d/v/v/v/v,4
/n/v/n/u/v,4
/n/v/v/u/v,9
/d/v/v/v/n,5
/r/v/v/v/v,21
/u/r/v/v/v,5
/v/n/v/v/r,5
/v/v/n/r/v,5
/v/v/n/v/u,5
/v/v/u/u/v,5
/n/d/v/v/v,4
/n/n/v/d/v,4
/v/n/v/n/v,13
/n/v/n/v/n,7
/n/v/v/n/n,7
/v/n/v/v/v,31
/v/v/r/v/v,7
/n/v/n/v/v,36
/n/v/v/v/v,28
/u/v/v/v/v,31
/v/v/n/v/n,18
/v/d/v/v/v,7
/n/u/v/d/u,6
/n/v/v/v/n,6
/v/d/u/n/v,6
/v/n/v/v/n,22
/v/u/d/v/v,6
/n/n/n/v/u,5
/n/n/v/n/v,5
/n/v/v/u/n,5
/v/v/u/n/v,5
/d/v/n/v/v,4
/v/v/n/n/n,6
/v/v/v/v/n,38
/v/v/v/n/v,20
/n/n/n/n/n,4
/v/v/n/n/v,13
/v/v/v/v/r,10
/v/v/u/v/v,15
/n/u/v/v/v,6
/v/d/v/n/v,6
/v/n/u/v/v,6
/v/n/v/nh/v,6
/v/v/v/v/d,13
/n/v/u/v/v,7
/v/n/v/v/u,7
/v/v/v/u/n,7
