词性,出现次数
/d/v/n/r/v,3
/n/v/v/v/v,60
/v/m/u/u/v,3
/v/v/d/n/v,3
/v/v/n/v/v,39
/v/v/v/r/v,3
/a/v/p/n/v,2
/a/v/v/n/v,2
/d/d/d/u/v,2
/d/d/u/u/v,2
/v/v/v/v/v,117
/v/v/v/n/v,64
/v/v/v/v/n,52
/a/v/v/v/v,7
/n/n/v/v/d,4
/v/a/v/v/v,4
/v/n/v/v/n,22
/v/v/u/v/u,4
/d/v/v/v/v,20
/n/v/n/v/r,3
/v/n/v/v/v,43
/n/d/v/v/v,7
/n/u/v/n/v,3
/u/v/v/n/n,3
/v/n/v/n/r,3
/v/v/n/n/r,3
/v/v/v/d/v,17
/v/d/v/v/v,9
/d/v/d/n/d,3
/d/v/n/n/v,3
/d/v/v/d/u,3
/n/n/u/v/v,12
/n/v/d/v/v,11
/ws/ws/ws/ws/ws,10
/v/u/v/v/v,22
/d/n/v/v/v,16
/n/v/n/v/v,22
/v/n/u/v/d,4
/d/v/n/v/v,23
/n/r/u/v/n,3
/n/v/n/u/d,3
/n/v/v/u/n,3
/r/v/d/v/d,3
/u/d/v/n/n,3
/u/v/n/v/v,6
/v/u/v/u/v,4
/m/u/v/n/v,3
/n/n/v/n/m,3
/n/u/n/u/v,3
/n/v/n/n/v,13
/n/v/n/v/n,10
/n/v/v/n/n,10
/m/v/v/v/n,6
/n/u/n/v/v,9
/n/v/u/u/u,3
/u/v/u/v/u,3
/u/v/v/u/n,3
/v/n/u/n/v,6
/v/u/r/v/d,3
/v/u/u/u/u,3
/a/n/n/n/v,3
/n/n/n/v/u,6
/r/v/n/v/d,3
/r/v/v/n/r,3
/u/v/n/n/v,3
/a/u/u/v/n,2
/a/v/u/v/n,2
/d/n/d/v/d,2
/d/n/r/v/v,2
/d/n/v/d/v,2
/n/n/v/v/v,13
/n/v/v/n/v,12
/n/v/v/v/n,15
/u/v/n/d/v,3
/u/v/v/v/v,21
/v/d/n/u/n,3
/v/n/d/v/u,7
/v/n/u/v/v,3
/v/p/v/n/n,3
/n/v/u/d/n,4
/n/v/v/v/u,12
/v/v/v/u/v,8
/d/u/v/v/v,3
/d/v/v/v/n,9
/n/c/v/v/v,3
/n/n/n/n/n,24
/v/n/n/n/n,5
/n/n/n/n/v,8
/v/v/v/v/u,16
/m/n/v/v/v,4
/n/v/n/v/u,11
/n/v/p/v/v,4
/v/n/n/d/n,4
/v/r/n/v/v,4
/d/n/v/n/v,6
/n/u/v/v/n,10
/d/v/d/v/v,4
/n/v/v/n/d,4
/v/v/v/n/r,8
/d/v/n/v/m,3
/d/v/v/r/v,3
/n/d/v/v/r,6
/r/v/v/v/n,16
/n/d/v/v/n,3
/n/n/n/v/n,13
/n/p/n/v/v,3
/u/d/v/v/n,3
/v/d/u/u/v,3
/v/u/v/n/n,7
/v/v/v/n/n,22
/d/nd/v/u/n,2
/v/v/u/v/v,7
/v/d/v/n/v,4
/v/v/n/n/v,10
/n/r/v/n/n,3
/n/u/n/v/n,3
/n/v/n/r/v,3
/n/v/v/u/v,10
/u/v/v/v/n,8
/v/n/n/r/v,3
/v/v/n/c/v,4
/r/v/v/u/v,3
/v/n/c/v/v,3
/v/n/v/n/n,6
/d/d/v/v/n,3
/d/n/n/v/v,6
/n/d/d/v/v,3
/n/n/v/v/n,15
/n/v/r/d/v,3
/a/v/n/n/m,3
/n/n/n/m/v,3
/n/n/v/n/n,14
/n/v/n/n/u,3
/v/n/d/v/n,5
/n/d/v/n/v,4
/v/v/d/v/v,16
/n/n/d/v/v,3
/n/v/n/d/n,3
/r/v/v/n/v,4
/v/n/n/v/n,4
/v/v/n/v/r,4
/d/n/v/n/n,3
/n/r/v/r/v,3
/n/r/v/v/n,6
/v/n/v/n/v,11
/d/v/n/v/n,3
/n/v/u/d/v,6
/u/n/n/v/n,3
/u/n/u/n/n,4
/m/a/v/n/v,3
/n/n/v/n/u,6
/n/n/v/n/v,14
/n/r/v/d/n,3
/d/u/n/v/m,3
/n/d/n/v/v,3
/n/m/v/n/n,3
/n/n/m/v/n,3
/n/v/m/v/n,3
/v/v/n/v/n,12
/d/n/v/v/n,3
/n/d/v/v/m,3
/r/d/n/v/d,3
/v/d/n/v/n,6
/v/d/n/v/v,6
/v/n/d/v/v,7
/v/n/n/d/v,3
/v/v/n/n/d,3
/n/v/u/v/v,5
/v/u/u/v/v,7
/v/v/r/u/v,4
/d/n/n/u/v,3
/d/v/u/v/n,3
/a/d/v/v/v,5
/d/d/a/d/v,3
/d/u/v/n/v,3
/d/u/v/u/v,3
/d/v/n/u/n,3
/m/v/n/n/v,3
/n/d/v/n/n,3
/d/v/v/v/u,4
/u/r/v/v/v,4
/v/v/n/d/v,7
/v/v/u/v/n,4
/d/n/d/v/u,3
/u/v/v/v/u,4
/v/d/v/d/v,4
/d/n/u/v/d,3
/d/n/v/v/u,6
/d/v/v/n/d,6
/n/v/u/u/v,3
/r/u/v/u/v,3
/v/n/d/n/v,8
/v/d/v/v/d,4
/v/u/n/v/v,4
/n/v/n/d/q,3
/r/r/v/v/v,3
/r/v/v/u/n,3
/u/v/v/r/v,3
/v/d/v/v/n,4
/n/v/v/d/n,3
/r/v/n/v/n,3
/u/d/v/v/u,3
/u/r/v/n/v,4
/v/v/r/v/v,4
/d/v/n/v/a,3
/n/u/r/v/n,3
/n/v/v/r/v,3
/r/v/v/v/v,3
/n/n/d/n/v,3
/v/v/v/v/nd,3
/a/n/n/u/v,2
/a/v/v/v/u,2
/v/n/u/d/n,3
/a/nd/v/v/v,2
/a/v/r/r/u,2
/d/a/v/v/d,2
/v/r/v/v/v,8
/v/n/n/n/v,6
/n/v/n/d/v,6
/u/u/v/v/v,3
/v/n/v/v/u,3
/m/u/d/v/n,3
/n/r/u/v/v,3
/n/v/n/r/r,3
/n/v/v/v/d,6
/v/u/d/v/n,3
/a/u/v/u/u,2
/a/v/v/u/u,2
/d/n/n/v/n,3
/n/n/v/u/nh,3
/n/u/v/d/v,3
/n/v/r/v/v,3
/n/v/v/n/u,3
/r/v/n/n/n,3
/d/u/v/n/n,4
/v/n/p/v/v,4
/v/v/d/v/u,4
/r/v/v/d/n,3
/u/v/d/v/v,3
/n/d/u/d/v,3
/n/n/n/r/n,3
/r/v/v/m/v,3
/v/v/d/v/n,3
/a/d/n/v/a,2
/a/d/v/v/u,2
/a/n/v/n/v,2
/a/u/v/n/v,2
/v/v/a/v/v,5
/v/v/m/v/v,4
/d/v/v/n/n,3
/n/v/u/v/n,3
/n/v/r/n/v,3
/v/d/n/d/v,3
/v/n/c/d/d,3
/v/r/n/v/n,3
/v/v/v/n/nh,3
/a/r/n/v/d,2
/u/v/v/n/v,4
/v/v/d/n/n,3
/d/n/n/n/v,2
/d/r/d/m/v,2
/r/n/r/u/v,3
/r/v/d/n/a,3
/r/v/r/v/d,3
/u/v/r/v/v,3
/v/n/d/d/v,3
/v/r/u/v/v,3
/v/r/v/v/n,3
