词性,出现次数
/v/n/v/v,1547
/v/v/v/v,2082
/v/v/u/v,342
/n/v/n/v,958
/v/u/v/v,370
/v/v/v/u,336
/n/v/v/v,1272
/v/d/v/u,16
/d/v/u/v,14
/n/v/d/v,86
/v/v/n/v,1457
/v/v/v/n,1266
/n/v/n/n,150
/n/v/v/n,620
/v/n/v/n,862
/v/v/n/n,270
/n/u/v/v,47
/u/v/v/v,322
/v/v/d/v,169
/d/v/v/n,42
/u/v/v/u,79
/r/u/v/v,16
/v/d/v/v,192
/v/n/n/n,131
/n/n/v/n,230
/v/n/n/v,551
/v/v/r/v,133
/u/n/v/n,20
/v/n/d/v,32
/v/v/n/u,11
/v/v/u/n,11
/n/n/n/v,53
/r/d/v/v,8
/n/n/v/v,253
/n/n/n/n,90
/v/v/v/r,135
/u/v/n/v,112
/n/n/u/v,10
/u/v/v/n,42
/d/v/v/v,186
/v/u/v/n,99
/v/n/u/v,61
/r/v/v/v,151
/v/r/v/v,150
/v/v/n/d,56
/v/n/v/r,14
/v/v/v/d,145
/v/r/n/v,12
/v/n/u/n,23
/d/n/v/v,21
/v/r/v/n,12
/r/v/n/v,11
/n/v/v/u,96
/v/n/v/u,85
/n/v/u/v,16
/n/v/v/r,16
/n/v/v/d,48
/v/n/v/d,28
/u/n/v/v,49
/v/n/d/n,21
/v/v/a/v,8
/d/n/v/n,17
/v/u/n/v,16
/n/r/v/v,26
/d/v/v/d,10
/ws/ws/ws/ws,42
/v/d/n/v,20
/v/n/r/v,18
/d/v/n/v,18
/u/v/v/d,29
/m/m/m/m,12
/d/u/v/v,12
/u/r/v/u,12
/v/u/v/u,68
/v/u/v/r,18
/n/u/v/n,16
/n/u/n/v,14
/u/v/n/n,14
