词性,出现次数
/d/v/v,42202
/n/d/v,41183
/v/u/n,33783
/v/n/v,12229
/d/d/v,19198
/d/v/n,5905
/v/d/v,19427
/n/v/n,1310
/v/v/n,17668
/v/v/u,20923
/v/v/v,20323
/d/v/u,14507
/v/u/v,4911
/n/v/u,5138
/u/n/v,12260
/m/m/m,30
/v/r/v,2249
/n/u/n,10881
/n/v/v,18285
/r/d/v,4233
/d/v/r,2493
/v/u/r,395
/u/n/n,336
/a/u/n,909
/u/n/d,6023
/m/q/n,4924
/v/m/q,1787
/v/v/r,2349
/u/v/u,33
/n/d/d,15
/v/n/u,70
/d/v/d,54
/v/r/n,127
/v/n/n,400
/v/u/m,424
/m/n/v,88
/v/p/m,76
/n/v/p,73
/n/n/v,330
/nh/d/v,112
/nd/u/n,10
/p/r/v,8
/r/v/v,8
/n/m/q,108
/m/q/v,54
/r/u/n,97
/n/n/n,62
/u/m/q,45
/nt/v/n,64
/r/n/v,49
/d/a/u,58
/m/q/m,16
