词性,出现次数
/n/r/v/v/v,16
/v/n/r/v/v,12
/v/r/r/v/v,4
/v/v/v/d/v,14
/d/n/v/n/v,6
/d/v/v/r/v,6
/n/n/v/u/n,3
/n/r/a/u/v,3
/n/r/v/v/n,6
/n/v/n/v/n,32
/v/n/v/v/n,47
/v/v/v/v/n,69
/n/v/v/v/v,82
/v/u/u/v/u,4
/v/u/v/u/v,11
/d/n/v/v/v,23
/n/d/v/n/v,9
/n/r/n/v/n,3
/n/v/v/n/v,55
/r/v/v/v/u,3
/v/v/v/v/v,131
/n/v/v/v/n,48
/v/v/n/v/v,68
/n/u/n/v/v,8
/v/n/v/v/v,79
/n/n/n/v/n,17
/n/n/v/v/v,38
/n/v/d/v/v,7
/n/d/n/v/n,7
/n/d/n/v/v,7
/n/v/u/v/v,25
/n/v/v/v/nh,4
/d/v/d/v/d,3
/n/v/n/n/v,44
/u/u/v/v/n,6
/v/n/d/n/v,3
/v/n/v/u/v,10
/d/v/n/u/n,3
/n/d/d/n/v,3
/n/n/n/n/n,30
/n/ns/n/n/n,3
/n/ns/n/ns/n,3
/n/v/n/n/n,12
/v/n/n/v/v,34
/d/d/n/v/u,2
/d/d/v/n/n,2
/d/n/d/d/n,2
/v/n/n/v/n,32
/n/n/v/n/n,16
/n/v/v/n/n,22
/v/n/n/n/n,19
/v/n/v/d/u,4
/v/n/v/n/d,11
/v/n/v/n/n,24
/v/r/n/v/v,4
/v/v/d/v/v,22
/v/d/v/v/v,18
/v/v/n/u/v,8
/d/v/v/v/v,23
/n/d/v/d/u,3
/n/u/r/v/v,3
/n/v/v/d/v,12
/u/n/v/v/d,3
/u/u/n/v/v,3
/d/v/v/n/u,4
/n/n/v/v/n,31
/v/v/n/n/v,19
/d/n/v/n/n,6
/v/n/v/r/v,8
/v/u/v/a/n,4
/v/v/r/v/r,4
/d/u/n/u/v,3
/m/n/v/u/n,3
/n/n/n/d/n,3
/n/v/n/r/v,10
/r/v/v/r/v,5
/v/n/v/n/v,54
/v/n/v/v/u,19
/n/u/v/u/v,4
/v/v/v/n/d,13
/a/v/v/v/n,3
/n/r/v/n/v,10
/n/v/n/v/v,45
/n/v/v/u/n,7
/v/v/u/v/v,42
/v/v/v/n/v,58
/c/v/v/v/v,5
/n/c/n/v/n,3
/u/v/d/u/v,3
/v/d/n/v/n,3
/v/n/d/v/n,6
/v/n/n/v/u,3
/m/n/v/n/n,7
/n/v/n/n/u,4
/v/m/n/v/n,4
/n/n/u/n/d,3
/p/v/u/v/u,3
/r/v/v/v/v,11
/u/v/v/v/n,12
/v/r/v/v/v,7
/m/u/v/v/r,4
/v/v/n/v/n,38
/a/n/v/n/n,3
/d/d/v/v/v,6
/d/v/v/u/d,3
/n/d/n/n/n,3
/u/v/n/v/v,8
/n/v/v/v/d,13
/v/d/v/v/n,7
/v/n/v/n/r,11
/n/v/n/r/n,5
/u/v/n/v/n,8
/u/v/v/v/v,50
/u/v/r/v/v,7
/v/u/v/n/v,11
/v/v/v/n/n,20
/v/v/v/r/v,17
/d/v/v/d/v,3
/n/n/d/n/n,3
/n/n/v/u/v,15
/n/u/v/v/v,10
/n/v/u/v/u,7
/v/v/v/u/d,4
/d/v/n/v/v,18
/u/v/v/v/u,3
/v/d/v/n/v,7
/a/d/v/v/v,5
/a/n/n/v/u,2
/a/u/d/v/n,2
/v/u/u/v/v,5
/u/u/v/v/u,4
/v/v/n/n/n,18
/d/n/v/u/u,3
/d/u/v/n/v,6
/n/d/u/v/n,6
/n/n/n/v/v,7
/d/v/r/n/v,5
/a/d/n/n/m,1
/a/d/nl/m/n,1
/a/d/v/u/v,1
/a/m/n/p/nd,1
/a/nt/v/i/m,1
/a/q/nt/v/u,1
/a/r/c/r/n,1
/a/r/nd/u/d,1
/a/u/v/v/r,1
/v/v/u/v/n,11
/a/v/n/m/n,2
/d/a/v/n/m,2
/p/v/n/v/v,2
/r/d/n/v/v,2
/u/d/v/d/n,2
/v/v/m/v/v,4
/v/v/v/v/u,17
/n/v/d/n/v,3
/n/v/v/v/u,12
/p/v/u/r/n,3
/r/n/v/v/v,10
/r/v/n/v/n,3
/v/u/m/v/d,3
/a/d/n/n/v,2
/a/n/d/v/v,2
/a/u/n/v/d,2
/b/n/v/u/n,2
/d/a/r/n/d,2
/v/u/v/v/n,7
/n/r/v/u/u,3
/u/n/n/v/v,6
/u/v/v/v/d,3
/n/m/n/v/v,4
/m/v/n/v/n,3
/n/a/v/u/n,3
/n/u/v/v/u,6
/u/d/a/v/d,4
/d/a/v/d/r,3
/d/n/d/v/u,3
/d/n/u/n/v,3
/d/u/v/v/n,8
/n/d/d/v/v,3
/v/u/v/v/v,54
/d/n/d/r/v,3
/d/r/v/v/n,3
/d/u/v/u/v,5
/d/v/v/n/r,3
/u/n/v/v/a,4
/n/n/a/v/v,3
/v/v/c/n/v,3
/v/v/nd/v/v,3
/a/d/u/n/v,2
/c/n/v/p/n,2
/d/n/q/n/v,2
/v/v/n/v/u,17
/v/v/u/d/v,4
/d/v/v/n/n,6
/n/v/r/v/v,3
/c/n/n/v/m,2
/n/n/v/n/v,15
/v/v/v/u/v,12
/d/v/v/d/d,3
/v/d/n/v/v,3
/d/v/v/n/v,27
/n/d/v/q/v,3
/n/p/v/v/u,3
/n/v/a/v/v,6
/n/v/v/m/n,3
/n/v/v/p/v,3
/r/v/d/n/v,3
/v/d/u/n/u,3
/v/u/n/v/v,11
/n/nh/v/n/v,4
/n/d/v/v/r,3
/n/r/v/v/u,3
/nh/v/n/v/v,3
/v/n/v/u/n,7
/d/v/v/v/r,4
/r/n/v/v/d,4
/v/n/v/u/r,4
/d/v/v/v/n,11
/r/v/v/d/v,4
/n/n/v/d/v,6
/n/v/d/v/u,3
/u/v/u/v/v,6
/v/d/u/v/n,3
/v/d/v/r/v,6
/v/n/u/v/n,3
/d/v/v/u/n,3
/n/d/v/v/u,3
/n/n/u/v/v,3
/n/nd/n/u/v,3
/u/v/d/n/u,3
/u/v/n/r/n,6
/u/v/u/u/v,3
/v/d/u/v/v,4
/a/v/v/d/v,3
/d/v/nh/v/n,3
/n/v/d/m/v,3
/n/v/n/d/n,10
/r/v/v/u/n,3
/n/n/d/n/d,3
/n/v/v/u/v,21
/n/v/v/v/r,6
/u/v/v/n/v,10
/r/a/v/v/v,5
/a/v/v/v/u,4
/d/n/v/r/v,3
/a/v/r/r/u,2
/c/v/v/r/v,2
/d/n/v/n/nh,2
/d/u/u/u/d,2
/d/u/v/c/nh,2
/d/v/r/v/v,2
/n/n/p/u/v,3
/n/r/u/v/r,3
/u/v/v/n/n,3
/v/a/v/v/n,3
/u/u/v/v/v,8
/n/v/d/v/r,4
/v/n/d/v/v,4
/v/r/d/v/v,4
/n/v/n/d/v,3
/v/v/n/d/v,5
/v/v/v/n/u,10
/a/v/v/u/v,4
/n/v/v/u/u,4
/u/v/n/v/u,4
/n/v/n/d/u,3
/n/v/u/v/n,3
/d/v/d/v/n,6
/n/d/v/d/v,3
/n/u/v/v/n,6
/v/d/v/n/a,3
/v/v/r/u/v,3
/v/v/u/v/d,4
/u/v/v/u/v,3
/v/u/n/v/n,6
/v/v/n/v/r,7
/d/a/r/n/v,2
/n/a/v/v/n,3
/u/n/n/v/n,6
/v/n/n/u/d,3
/v/r/u/v/v,3
/d/d/u/v/v,2
/n/n/v/n/r,4
/r/v/v/v/n,4
/v/n/r/v/n,4
/v/v/r/v/v,8
/d/n/r/n/v,3
/n/v/v/n/u,4
/n/d/v/v/n,3
/n/u/n/d/u,3
/n/u/u/v/v,3
/n/v/n/n/d,3
/r/v/r/v/v,3
/v/v/u/v/u,9
/d/n/v/u/v,6
/r/n/r/u/v,3
/r/u/v/v/d,3
/u/d/u/n/v,3
/m/v/v/v/v,3
/n/n/n/n/v,13
/n/u/v/n/v,3
/n/v/n/m/v,3
/u/n/v/v/v,16
/d/v/u/v/u,3
/v/c/v/v/v,3
/a/n/n/n/r,2
/d/d/u/r/a,2
/d/u/r/a/v,2
/d/v/u/n/v,2
/n/c/n/d/v,2
/n/v/n/p/v,4
/u/n/v/n/n,6
/u/n/v/n/v,3
/v/r/v/v/d,3
/a/u/u/v/v,2
/c/v/r/v/v,2
/d/a/d/n/v,2
/d/n/v/v/u,2
/d/q/d/v/n,2
/n/n/v/u/u,4
/v/r/v/v/n,4
/m/n/n/v/v,6
/r/n/d/v/v,3
/u/d/v/r/u,3
/n/v/v/r/v,3
/v/d/v/d/v,3
/n/n/c/v/n,3
/u/n/v/d/v,3
/v/n/n/d/v,3
/n/v/v/u/d,4
/d/v/d/n/d,3
/d/v/r/v/n,3
/m/v/v/v/n,3
/u/v/n/n/n,3
/n/v/v/d/u,4
/n/n/p/v/v,3
/n/n/v/n/p,3
/c/n/v/v/v,3
/d/n/v/v/n,3
/d/v/n/n/v,9
/n/c/n/d/n,3
/d/v/n/v/d,3
/d/v/v/v/d,6
/u/v/v/u/d,3
/v/d/v/u/v,7
/v/n/v/d/v,3
/v/u/n/v/a,3
/d/v/u/r/v,3
/u/v/n/n/v,6
/v/v/v/r/d,3
/a/r/v/n/n,2
/c/u/v/n/n,2
/d/n/d/n/c,2
/d/q/d/n/n,2
/d/u/u/v/n,2
/n/u/n/n/u,3
/r/n/u/n/n,3
/u/v/n/d/u,3
/d/u/n/r/n,3
/v/d/v/u/n,3
/v/n/r/u/d,3
/v/n/u/n/v,3
/a/v/n/u/n,2
/a/v/u/v/v,2
/n/n/r/v/v,3
/v/u/v/v/r,5
/r/v/n/v/v,4
/a/d/n/d/v,3
/n/a/v/v/v,6
/n/u/u/n/d,3
/n/v/u/u/v,6
/d/r/v/d/v,4
/r/v/d/v/v,7
/d/n/n/v/u,3
/p/n/r/v/v,3
/v/n/c/v/u,3
/n/r/n/u/v,3
/n/u/n/v/d,3
/n/v/u/n/v,3
/u/c/v/v/v,3
/v/n/n/r/n,3
/v/q/d/n/n,3
/v/n/v/v/d,13
/n/n/v/r/v,3
/n/v/v/d/n,6
/n/v/v/a/v,3
/v/v/v/n/m,3
/a/r/r/n/r,2
/n/v/n/u/v,3
/v/d/v/v/d,3
/v/v/v/d/n,5
/v/m/v/v/v,4
/v/v/v/v/d,11
/v/n/n/v/d,6
/u/v/d/v/v,8
/v/v/r/v/n,5
/v/v/v/n/r,5
/r/v/n/v/r,4
/v/r/u/d/v,4
/v/v/n/r/v,4
/n/r/u/v/v,3
/v/n/r/v/p,3
/v/n/v/m/v,3
