词性,出现次数
/v/v/v/v/v,432
/v/v/v/v/n,204
/v/v/v/v/d,55
/d/v/v/v/v,92
/v/u/v/v/v,44
/v/v/n/n/v,45
/v/n/v/n/v,119
/v/v/d/v/v,48
/v/v/v/d/v,33
/d/v/v/n/v,7
/n/v/v/n/v,107
/n/v/v/v/v,205
/v/n/v/v/d,13
/v/r/v/v/v,38
/v/v/n/n/n,25
/v/v/v/nh/v,8
/c/v/u/d/n,6
/n/n/a/v/v,6
/v/v/v/n/v,249
/n/v/n/v/v,98
/u/n/v/n/v,7
/n/n/v/v/v,82
/n/v/v/v/d,24
/n/v/v/v/n,60
/v/n/v/v/n,70
/v/v/n/v/v,238
/n/n/v/v/n,46
/v/n/d/v/v,30
/n/v/n/d/v,6
/n/d/v/v/v,16
/n/n/v/n/d,10
/d/n/r/v/v,4
/v/n/v/v/v,163
/d/n/v/v/v,7
/v/d/n/v/v,7
/v/v/d/n/v,11
/v/n/n/v/n,29
/n/v/n/n/v,15
/n/n/v/n/n,15
/n/v/n/v/n,33
/v/d/v/v/v,56
/v/v/v/v/u,53
/u/v/v/v/v,42
/v/v/v/u/v,57
/d/v/n/v/v,20
/n/u/n/d/v,4
/r/n/v/v/v,18
/d/v/v/d/v,10
/n/v/u/u/u,4
/u/v/n/v/n,13
/v/v/v/n/d,22
/d/v/d/v/v,12
/d/v/v/v/u,12
/n/d/n/n/u,6
/n/m/v/n/a,6
/n/u/n/d/n,6
/n/v/r/n/v,6
/u/n/d/n/n,6
/u/v/v/v/n,10
/v/d/v/v/u,5
/v/v/u/n/v,12
/r/v/v/v/v,41
/v/v/n/v/n,44
/n/n/n/n/n,36
/n/n/u/v/v,4
/n/u/v/v/v,4
/n/n/n/n/v,23
/r/n/n/v/n,3
/c/n/n/v/v,2
/d/d/v/n/v,2
/d/n/n/v/n,2
/d/n/u/v/v,2
/d/v/n/v/u,2
/v/v/n/r/v,5
/n/n/v/r/v,4
/n/n/v/v/d,4
/n/r/v/v/v,30
/v/r/r/v/v,4
/v/u/n/v/v,14
