词性,出现次数
/a/p/v/v/n,6
/a/u/v/v/v,6
/a/v/v/d/n,9
/d/d/v/v/v,9
/d/v/v/v/u,6
/n/d/n/n/u,6
/n/d/q/v/n,6
/n/n/v/v/v,33
/r/v/n/n/n,6
/r/v/v/n/v,6
/v/d/n/n/n,5
/v/n/n/n/n,17
/v/v/n/n/v,14
/v/v/n/v/v,56
/v/v/v/n/v,57
/n/v/n/v/v,26
/v/n/v/v/v,37
/v/v/v/n/n,11
/c/v/v/v/n,6
/m/n/v/n/v,3
/v/v/v/v/v,130
/r/u/n/v/v,10
/d/v/v/n/n,11
/v/v/u/v/n,8
/d/n/n/u/n,3
/d/v/n/d/v,6
/d/v/v/v/v,23
/n/d/v/v/v,6
/n/v/u/v/u,3
/v/n/v/v/u,20
/n/v/v/n/v,23
/v/n/v/n/v,31
/v/u/v/u/u,4
/v/v/v/v/n,65
/a/m/v/n/v,3
/d/n/d/v/v,3
/d/n/u/d/v,3
/v/v/d/v/v,12
/v/r/v/u/v,4
/d/n/m/v/v,3
/d/v/v/n/v,15
/n/u/r/v/v,3
/n/v/d/u/v,6
/n/v/n/v/r,3
/u/n/v/v/v,4
/n/n/n/n/v,6
/n/n/n/v/d,3
/n/n/n/v/u,8
/n/v/v/p/n,3
/n/v/v/v/n,26
/u/u/n/v/u,3
/u/u/u/n/n,3
/u/v/u/v/u,3
/d/v/u/v/v,11
/v/u/v/v/v,14
/d/v/n/v/v,9
/n/v/v/v/v,68
/r/d/v/u/v,4
/v/v/v/u/v,19
/v/v/n/v/n,23
/n/u/n/v/n,3
/n/v/v/n/n,27
/u/v/v/v/u,3
/v/n/n/n/v,14
/n/v/v/u/v,17
/v/n/v/n/n,8
/v/u/v/d/v,4
/d/v/n/v/n,3
/m/n/v/v/v,3
/n/n/v/n/n,3
/u/v/a/v/v,3
/u/v/v/v/v,9
/u/v/v/n/v,11
/v/v/d/u/v,5
/n/n/v/v/d,4
/n/v/v/u/u,4
/v/d/u/n/v,4
/d/u/d/u/u,3
/n/n/n/n/n,22
/n/v/d/v/v,9
/n/v/v/v/u,6
/v/d/u/d/u,3
/v/u/u/n/v,3
/v/v/v/u/n,3
/v/v/v/v/d,3
/d/u/v/v/d,3
/m/v/v/v/m,3
/n/d/d/n/n,3
/n/d/v/v/n,6
/n/n/r/u/u,3
/v/n/v/a/v,3
/a/v/d/u/n,2
/d/n/n/r/u,2
/d/u/v/v/v,11
/d/v/d/u/v,2
/d/v/d/v/d,2
/n/d/v/d/u,2
/n/d/v/v/r,2
/n/v/d/n/n,9
/v/v/m/n/v,4
/d/d/n/v/v,3
/d/n/v/d/n,7
/m/u/u/n/v,3
/m/v/d/v/d,3
/n/n/n/n/u,5
/n/n/n/r/v,3
/n/n/v/r/n,3
/n/n/v/u/v,3
/n/n/v/n/v,7
/n/v/n/v/n,26
/v/n/n/r/v,3
/v/n/v/n/a,3
/v/v/v/nh/n,3
/a/m/u/v/v,2
/n/n/n/d/d,4
/n/r/v/n/d,3
/r/v/v/n/c,3
/u/u/n/v/v,3
/u/v/d/n/v,3
/u/v/u/v/d,3
/u/v/v/r/v,6
/a/r/u/r/r,2
/c/a/n/p/nl,2
/d/n/v/r/v,2
/n/n/n/u/n,2
/n/r/v/r/r,2
/n/u/r/n/n,2
/v/v/v/n/r,6
/n/v/d/n/v,4
/v/v/n/r/v,4
/a/v/r/v/v,3
/n/n/v/v/n,3
/n/v/v/n/q,3
/u/v/n/v/n,3
/u/u/n/n/v,4
/v/v/d/v/u,4
/a/n/u/n/v,3
/n/d/n/v/n,10
/n/n/n/d/v,6
/n/v/n/n/n,4
/v/n/d/v/v,4
/n/v/m/v/n,3
/v/a/n/v/n,6
/v/d/v/v/n,12
/v/n/v/v/n,3
/v/v/r/v/v,9
/a/v/v/v/u,3
/d/v/n/v/u,3
/d/v/v/u/n,3
/n/d/d/u/u,3
/n/m/v/v/v,3
/n/r/r/v/n,3
/v/v/n/d/n,6
/v/v/n/v/u,6
/n/v/v/r/v,3
/u/r/n/v/n,3
/v/n/v/v/r,3
/v/v/r/d/v,3
/a/n/a/d/n,2
/a/v/u/n/v,2
/d/n/d/q/v,2
/v/n/n/v/n,8
/d/v/n/n/v,3
/n/n/v/n/u,3
/n/r/v/v/d,3
/n/v/n/r/n,6
/n/v/v/d/v,6
/n/v/v/v/d,10
/v/n/r/n/v,3
/r/v/v/v/v,12
/v/d/n/v/v,14
/v/q/v/v/v,4
/v/v/u/r/v,4
/v/n/n/v/v,19
/v/n/r/v/v,7
/d/v/d/v/v,3
/n/u/u/v/v,4
/u/v/v/d/v,4
/u/v/v/v/n,8
/v/d/v/v/d,4
/c/n/d/v/m,3
/n/n/d/v/u,3
/u/n/v/v/n,14
/v/d/u/n/n,4
/d/n/u/v/n,3
/d/u/n/n/v,3
/d/v/d/u/n,3
/n/v/v/r/n,3
/r/n/v/v/n,6
/d/v/r/v/v,3
/d/v/v/v/n,9
/r/v/v/v/u,6
/u/v/d/d/u,3
/v/n/v/v/d,9
/n/p/d/n/d,3
/r/r/v/n/v,3
/v/v/n/n/d,3
/a/d/d/v/n,2
/v/v/d/n/v,15
/n/v/n/u/n,4
/d/n/u/v/d,3
/v/n/d/v/d,3
/v/n/u/n/v,3
/v/u/d/u/v,3
/v/v/n/d/v,3
/v/v/u/d/u,3
/v/v/v/v/r,3
/v/v/v/d/n,4
/a/v/v/v/d,3
/a/d/v/r/v,2
/a/v/p/v/n,2
/c/v/d/v/v,2
/a/v/d/v/v,3
/d/u/n/v/v,3
/n/r/v/v/v,3
/n/v/v/n/d,3
/v/v/d/v/n,4
/v/v/r/v/n,4
/v/v/v/r/v,4
/v/n/m/v/d,3
/v/r/v/n/n,3
/v/u/n/d/u,3
/v/u/n/v/n,3
