词性,出现次数
/v/n/v/v,2355
/v/v/n/v,2338
/v/v/v/n,1900
/v/n/v/n,1432
/v/v/v/v,3177
/n/v/n/v,1510
/n/v/v/n,1007
/v/u/v/v,517
/v/v/n/u,24
/v/v/r/v,252
/u/v/v/v,517
/v/u/v/n,119
/n/v/u/v,137
/v/v/u/v,438
/n/v/v/v,1920
/n/n/v/v,670
/n/v/u/n,16
/u/v/v/n,118
/v/v/v/d,233
/n/v/n/n,348
/u/r/v/v,19
/v/n/n/v,677
/d/v/v/v,345
/v/n/n/n,161
/n/n/v/n,254
/v/d/n/v,66
/r/v/v/v,56
/v/v/r/u,21
/v/n/v/u,124
/n/n/n/n,113
/v/v/n/n,401
/n/n/n/v,150
/v/v/v/r,67
/n/d/v/v,67
/v/v/v/u,269
/r/v/u/v,13
/v/d/v/v,268
/v/n/u/v,105
/v/u/n/v,42
/v/v/u/n,31
/v/v/d/v,166
/u/v/n/v,98
/d/n/v/n,15
/r/v/v/n,7
/v/n/r/v,25
/n/v/v/d,11
/d/u/v/v,10
/d/v/d/v,10
/v/u/u/v,14
/v/a/d/v,12
/v/r/v/v,159
/v/n/d/n,18
/d/v/v/n,38
/r/v/r/v,19
/d/n/v/v,59
/n/v/v/u,63
/v/n/v/d,42
/v/n/v/r,21
/v/n/d/r,6
/v/n/d/v,69
/n/v/d/v,35
/v/v/n/d,36
/u/v/n/u,10
/d/u/v/n,8
/n/a/n/n,8
/n/n/a/n,8
/n/n/v/u,8
/r/n/n/v,12
/d/v/n/v,10
/u/v/u/v,14
/v/n/n/u,18
/m/v/n/v,14
/n/v/a/v,12
/v/u/v/d,16
/n/v/v/r,14
