词性,出现次数
/v/u/n,23658
/d/v/v,28448
/n/d/v,28135
/v/v/u,15310
/r/d/v,3042
/d/v/u,9591
/v/u/v,3261
/v/u/r,506
/u/n/v,11102
/u/n/d,4344
/n/u/n,11084
/n/v/n,1497
/d/d/v,10891
/v/n/v,6637
/v/v/n,12284
/n/n/n,875
/v/d/v,10848
/m/q/n,5338
/v/v/v,13899
/n/v/v,13072
/v/m/q,1703
/d/v/r,1352
/v/v/r,1686
/v/n/n,937
/d/v/n,2814
/v/r/v,1545
/v/u/m,592
/u/n/n,784
/n/v/u,2924
/v/v/m,7
/a/u/n,1453
/n/n/v,815
/r/u/n,248
/v/r/n,86
/u/m/q,42
/n/n/m,52
/v/m/v,50
/v/n/u,188
/m/v/n,77
/n/d/d,37
/r/v/u,56
