词性,出现次数
/n/v/v/v/n,82
/n/v/v/v/u,51
/r/v/v/v/r,10
/u/v/v/v/v,122
/v/r/u/v/v,17
/v/v/v/v/v,561
/n/v/n/r/v,17
/n/n/n/n/r,8
/n/n/v/v/v,111
/n/r/v/u/v,8
/v/v/n/v/d,12
/n/v/v/n/v,97
/v/d/v/v/v,105
/v/n/v/v/n,95
/d/v/n/v/v,29
/d/v/v/n/v,46
/d/v/v/r/v,12
/v/d/n/v/v,22
/v/d/v/d/n,8
/n/v/v/v/v,240
/v/v/n/n/v,50
/v/n/n/v/v,47
/v/r/v/d/v,10
/v/u/v/v/v,58
/v/n/v/v/r,15
/v/u/v/n/v,4
/v/v/d/v/v,73
/v/v/u/v/n,22
/v/v/u/v/v,50
/r/v/v/v/v,60
/v/n/v/v/u,5
/d/v/u/v/n,8
/n/n/n/n/v,31
/n/v/v/r/v,8
/n/v/v/u/n,4
/n/v/v/u/v,31
/r/n/v/v/n,4
/v/v/v/v/n,282
/d/v/v/v/n,26
/d/v/v/v/v,145
/v/v/v/d/v,34
/v/d/n/v/d,5
/v/n/u/v/n,10
/v/r/v/v/n,11
/v/v/n/r/n,6
/v/v/n/v/u,28
/d/v/n/n/v,18
/n/v/u/v/u,14
/d/u/v/v/v,18
/n/d/v/v/v,22
/n/n/v/u/v,13
/n/v/r/v/n,4
/v/v/v/n/v,208
/v/v/n/v/v,202
/v/v/n/v/n,69
/v/v/v/d/n,16
/v/v/v/n/n,56
/d/v/d/v/v,7
/v/d/v/d/v,9
/v/u/d/u/v,5
/v/v/n/d/v,59
/v/n/v/n/v,61
/n/v/n/v/n,40
/n/v/n/v/v,116
/n/n/n/v/v,54
/n/n/v/d/v,4
/v/v/v/v/u,70
/u/v/n/v/v,22
/d/v/u/v/r,4
/v/v/v/u/v,35
/d/n/v/v/v,20
/r/n/v/v/v,22
/v/v/p/v/r,6
/a/m/d/r/n,4
/a/nd/u/n/c,4
/a/v/d/v/d,4
/n/n/v/v/u,15
/u/v/v/v/n,33
/v/n/v/v/v,232
/n/d/v/v/n,19
/n/u/v/v/v,26
/u/n/n/v/v,12
/n/n/u/v/v,15
/v/d/u/v/v,5
/v/v/n/n/u,5
/n/n/v/v/n,25
/u/d/n/n/u,4
/u/v/v/n/n,14
/u/v/v/n/u,12
/r/v/v/v/n,33
/d/v/n/u/v,8
/n/n/a/n/n,4
/n/v/n/v/d,4
/n/v/q/v/v,10
/v/v/v/v/r,59
/v/v/v/r/n,10
/r/v/d/v/v,5
/v/d/v/r/v,11
/v/n/v/d/v,25
/u/u/v/v/v,16
/v/n/d/n/n,6
/v/u/u/v/v,6
/u/v/n/n/v,8
/d/v/v/n/n,6
/u/v/n/v/n,6
/nh/n/v/v/r,6
/v/n/d/v/d,6
/v/d/v/v/n,6
/a/v/v/v/v,4
/v/v/v/r/v,28
/u/v/n/d/v,8
/v/u/v/v/u,21
/d/v/v/v/u,9
/u/u/v/r/v,5
/n/u/u/n/v,7
/n/v/d/v/n,4
/v/v/n/n/n,11
/n/r/v/n/v,15
/n/v/v/v/d,21
/v/u/n/v/v,16
/v/d/n/d/n,6
/n/v/n/d/n,4
/n/v/n/n/v,13
/n/v/n/v/r,5
/v/v/r/v/u,5
/n/r/v/v/v,18
/v/v/v/v/d,45
/m/v/v/n/v,4
/n/v/n/p/v,4
/r/v/r/v/d,4
/n/v/u/v/v,35
/r/r/v/v/v,5
/u/v/v/v/u,5
/v/n/n/v/n,15
/n/m/n/m/n,5
/n/n/m/n/n,5
/n/n/v/n/n,17
/v/d/v/v/d,6
/n/v/d/v/v,13
/v/n/v/u/n,5
/v/v/d/n/v,11
/v/v/u/v/d,12
/v/v/d/d/v,5
/v/n/d/n/v,6
/n/u/r/v/v,4
/n/u/v/v/d,4
/v/d/v/n/v,4
/n/d/n/v/v,5
/v/v/u/d/v,10
/n/n/n/v/n,22
/v/v/r/v/v,43
/n/v/u/u/v,8
/v/r/v/v/v,54
/d/n/v/r/v,9
/d/u/n/v/v,6
/n/v/v/n/n,6
/n/v/v/n/u,6
/u/n/v/v/n,13
/u/p/v/v/n,6
/u/v/d/v/n,6
/n/v/r/v/v,16
/n/r/n/v/v,6
/r/v/v/u/v,6
/v/d/v/u/n,6
/v/d/v/v/r,6
/r/r/v/v/u,8
/v/r/r/v/v,8
/v/r/u/d/u,8
/a/v/v/n/v,6
/d/n/c/v/n,6
/d/v/r/u/u,6
/n/v/r/r/v,6
/m/m/m/m/m,12
/v/v/a/v/v,10
/d/n/n/a/n,4
/d/r/v/u/v,4
/q/v/v/v/n,4
/u/v/u/v/v,5
/v/n/v/n/n,33
/v/nh/v/v/n,8
/v/v/n/u/n,8
/n/d/v/m/v,6
/n/n/v/n/v,41
/n/v/nh/v/v,6
/u/u/u/v/v,10
/d/d/m/v/n,8
/u/v/n/u/v,7
/d/m/v/n/d,6
/d/v/n/n/r,6
/r/d/v/v/v,6
/r/v/v/d/v,6
/u/d/u/d/n,6
/n/n/v/v/d,5
/v/d/v/u/v,5
/u/d/v/v/v,13
/n/d/d/n/v,3
/n/d/v/q/v,3
/u/v/v/r/v,13
/v/a/r/v/n,3
/v/r/v/v/d,3
/v/n/n/n/v,26
/d/u/d/v/u,3
/n/u/v/v/r,3
/d/v/n/d/v,6
/n/d/v/u/v,6
/d/v/v/d/v,16
/v/n/v/v/d,6
/d/n/v/v/n,14
/n/v/v/m/v,4
/v/n/v/u/v,14
/v/v/v/v/p,4
/a/nh/v/v/u,3
/n/n/u/v/n,7
/v/n/v/n/d,6
/n/v/u/v/n,7
/v/n/n/n/n,6
/v/n/n/v/u,4
/v/v/n/d/u,4
/n/n/v/a/n,3
/u/r/v/v/v,8
/v/n/v/r/v,8
/n/n/u/v/d,6
/n/v/v/d/n,6
/d/n/n/v/v,14
/d/v/v/r/u,4
/v/v/v/u/u,5
/v/n/r/n/r,4
/v/u/n/v/n,4
/a/u/v/n/v,3
/n/n/u/u/n,3
/r/n/n/v/v,3
/v/v/v/n/d,8
/v/v/n/u/v,18
/n/v/n/n/n,4
/n/v/u/n/n,4
/u/n/d/v/v,4
/v/d/r/v/v,5
/v/u/v/v/n,16
/d/v/v/u/n,4
/n/v/d/u/v,4
/r/v/v/n/v,4
/v/r/v/u/u,4
/v/u/v/d/v,4
/r/v/n/v/v,5
/m/v/v/v/u,4
/d/n/d/u/n,4
/d/nd/nh/v/n,4
/n/d/v/v/u,4
/n/u/d/v/n,4
/d/n/v/v/r,4
/r/n/n/v/n,4
/r/u/r/u/r,4
/r/v/v/r/v,4
/r/v/v/u/u,4
/u/v/v/v/d,22
/n/n/v/r/v,4
/d/v/v/v/d,9
/r/u/v/v/v,13
/n/r/v/r/v,5
/n/n/d/v/v,8
/n/d/v/v/d,6
/m/n/v/m/n,4
/n/v/m/n/v,4
/v/m/n/v/m,4
/d/v/n/v/d,3
/m/p/m/p/m,3
/d/n/p/n/n,2
/d/r/v/d/v,2
/v/v/v/u/n,15
/a/a/u/d/n,1
/a/a/u/r/nd,1
/a/a/v/v/n,1
/a/c/d/a/q,1
/a/d/n/r/v,1
/a/d/n/v/d,1
/u/v/v/n/v,11
/v/n/r/v/v,15
/d/d/v/v/n,4
/n/r/v/v/n,8
/nh/v/v/v/v,5
/p/v/v/v/v,5
/n/r/n/n/n,9
/v/n/d/v/v,12
/d/u/v/v/n,5
/d/v/n/v/n,5
/r/d/u/v/v,5
/d/n/n/v/n,4
/d/v/d/v/n,3
/d/v/n/d/n,3
/d/n/n/r/v,6
/d/v/u/v/v,9
/n/r/v/d/d,6
/n/n/r/v/v,5
/n/v/n/u/v,4
/v/u/n/n/v,5
/n/v/v/r/n,5
/v/v/v/u/r,10
/u/m/v/v/v,8
/d/n/u/v/d,6
/d/n/v/v/d,6
/d/u/d/v/v,6
/n/n/n/v/u,5
/d/v/u/u/v,4
/u/v/d/u/n,4
/v/v/d/v/u,7
/u/v/v/d/v,5
/v/n/nh/n/v,5
/v/v/n/r/d,5
/d/d/v/u/v,4
/n/nh/v/v/v,4
/u/u/nh/nh/v,4
/v/r/v/v/r,5
/n/r/u/v/v,4
/r/v/u/v/v,6
/v/v/r/v/n,6
/n/v/n/v/u,4
/v/u/v/r/n,6
/v/u/d/n/v,5
/n/r/v/r/u,4
/v/u/v/v/r,5
/n/a/v/v/v,6
/n/v/v/d/v,4
/n/d/n/n/n,5
/n/v/v/n/d,5
/n/v/u/n/v,6
/v/v/n/r/v,5
/n/v/n/c/v,4
/v/q/v/n/d,4
/a/v/q/v/n,3
