词性,出现次数
/v/r/v/v,22
/v/v/v/v,720
/n/v/v/n,218
/v/v/n/v,486
/v/v/r/v,63
/n/u/v/n,13
/n/v/v/v,366
/v/d/v/v,103
/v/n/v/n,256
/v/n/v/v,565
/v/v/u/v,129
/n/v/n/n,71
/v/n/n/v,136
/n/v/n/v,272
/v/v/v/u,110
/n/n/v/v,119
/v/v/v/d,100
/v/v/n/u,7
/d/v/v/v,82
/n/v/v/u,53
/r/v/v/n,21
/v/v/d/v,88
/v/n/v/u,67
/v/v/v/n,353
/n/d/v/v,17
/v/v/n/n,66
/n/v/v/d,39
/n/n/n/v,41
/d/v/n/v,20
/n/v/u/v,41
/r/v/n/v,10
/v/r/v/n,20
/n/n/v/u,6
/n/v/u/n,15
/d/v/v/d,9
/u/v/v/v,85
/u/v/n/v,82
/v/u/v/n,46
/v/n/r/v,19
/v/v/n/r,10
/n/n/v/n,45
/u/v/d/v,9
/v/d/v/n,36
/n/v/n/u,9
/v/n/u/v,23
/v/d/u/d,11
/v/v/d/d,9
/v/n/d/v,25
/v/v/d/u,8
/v/u/c/v,7
/v/u/u/d,7
/r/v/u/v,6
/u/d/n/v,6
/u/n/v/v,6
/u/u/d/u,6
/r/v/v/v,35
/v/u/v/v,66
/n/v/v/r,24
/v/u/r/v,10
/v/v/v/r,23
/d/v/n/n,7
/n/d/n/v,8
/u/v/r/v,7
/v/d/n/v,9
/v/v/u/n,9
/d/n/n/n,7
/d/n/v/v,7
/u/n/n/n,7
/u/v/v/n,12
/v/n/n/n,22
/u/v/u/v,11
/n/u/v/v,20
/r/n/v/v,10
/v/nh/v/v,18
/u/v/v/u,10
/v/u/v/d,9
/v/v/n/d,9
/v/v/u/d,7
/v/u/n/v,12
/d/v/v/n,7
/d/n/r/v,6
