词性,出现次数
/d/v/v,85321
/n/d/v,81885
/v/v/u,51072
/v/u/n,73875
/d/d/v,30738
/v/u/v,16201
/u/n/d,10735
/d/v/u,30655
/v/v/v,38717
/v/r/v,8286
/n/u/n,28117
/v/n/v,15247
/n/v/v,36972
/u/n/v,36486
/v/v/n,31298
/v/d/v,31758
/n/v/u,13891
/n/v/n,1803
/m/q/n,11811
/v/m/q,4574
/r/d/v,20574
/d/v/r,14749
/v/v/r,7673
/d/v/n,5353
/a/u/n,4060
/n/n/n,336
/u/n/n,617
/n/n/u,80
/v/u/r,2348
/r/v/v,855
/v/r/u,65
/v/r/n,220
/n/n/v,712
/v/u/m,997
/r/u/n,363
/r/v/u,415
/m/q/v,108
/u/m/q,97
/v/n/n,539
/u/u/u,69
/nt/d/v,200
/v/n/u,347
/v/r/d,8200
/d/v/d,90
/u/v/u,72
/nh/v/v,59
/u/n/c,30
/ws/r/n,4
/b/r/d,2
/d/v/ws,2
/n/b/r,2
