词性,出现次数
/v/v/v/v,13510
/n/v/v/v,8874
/v/n/v/n,7828
/v/v/n/v,11205
/v/v/v/n,8674
/v/v/v/d,1111
/n/v/n/v,7242
/v/v/n/n,2420
/n/n/v/v,3071
/v/d/v/v,1407
/v/n/v/v,10981
/d/n/v/v,637
/v/v/d/v,1204
/n/d/n/v,137
/n/n/v/n,1984
/n/v/n/n,1971
/n/v/v/n,5394
/d/v/v/v,1536
/v/n/n/v,4586
/n/d/v/n,72
/u/v/v/v,1791
/v/u/v/v,2331
/n/v/n/d,158
/n/v/v/u,679
/n/v/u/v,813
/n/v/d/v,320
/v/n/v/d,409
/n/n/n/n,1150
/u/r/v/v,30
/u/v/n/v,1065
/a/v/v/v,41
/n/d/v/v,248
/v/v/n/d,326
/v/n/d/v,583
/v/u/d/v,77
/v/v/v/u,1837
/v/v/u/v,1724
/v/r/n/v,107
/v/u/v/d,17
/r/v/v/v,588
/n/n/d/n,47
/v/n/u/v,530
/v/n/v/u,1265
/v/n/n/n,1020
/v/v/u/d,70
/r/v/v/n,67
/r/v/v/u,8
/v/r/v/v,707
/v/u/r/v,33
/v/u/n/n,45
/d/n/n/v,103
/v/n/d/n,192
/n/d/n/d,6
/v/d/n/v,604
/v/v/d/n,188
/u/n/v/v,273
/d/n/v/n,259
/u/v/v/n,666
/v/d/v/d,47
/n/n/n/v,1273
/v/v/u/n,133
/n/u/v/v,367
/u/v/d/v,6
/n/v/n/u,204
/u/d/v/n,14
/v/v/r/v,645
/n/u/v/n,181
/d/v/n/v,554
/v/r/d/v,8
/d/v/v/n,209
/v/u/v/n,780
/n/v/v/r,96
/u/v/n/n,106
/v/v/v/r,429
/v/v/n/u,277
/n/r/v/v,59
/n/v/u/n,99
/n/d/n/n,28
/a/v/v/n,18
/r/v/n/v,164
/r/n/v/v,85
/v/d/v/u,30
/v/u/v/r,19
/v/u/v/u,176
/v/u/n/v,312
/m/v/n/v,8
/v/v/nh/v,8
/v/d/u/v,79
/v/v/r/n,30
/u/d/v/v,60
/d/v/v/d,7
/n/n/u/v,32
/n/n/v/u,116
/n/v/u/d,55
/v/n/n/u,58
/v/n/v/r,69
/u/v/v/u,109
/d/d/v/v,16
/d/n/n/n,13
/v/v/d/u,56
/n/u/n/n,27
/n/v/d/n,89
/n/d/v/d,15
/u/v/u/v,185
/r/d/u/v,9
/r/v/r/v,42
