词性,出现次数
/n/v/v/v/v,42
/n/v/v/n/v,49
/v/v/d/v/v,45
/d/v/n/n/v,4
/n/v/n/n/v,4
/u/v/v/v/v,14
/v/n/n/v/u,4
/v/n/n/v/v,14
/v/v/n/v/u,4
/v/v/v/v/v,190
/d/u/n/v/v,2
/d/v/v/v/v,37
/r/r/d/v/v,2
/u/d/u/n/v,2
/v/d/m/v/d,2
/v/n/v/v/v,71
/v/u/v/v/v,47
/v/v/d/u/m,2
/v/v/v/m/r,2
/v/v/v/v/m,2
/v/v/n/v/v,79
/v/v/v/n/v,56
/v/v/v/v/d,13
/v/v/v/v/n,27
/v/r/v/v/v,17
/v/v/r/d/v,6
/v/v/r/v/v,19
/u/v/u/v/v,6
/n/r/n/r/n,5
/r/n/v/v/v,5
/u/r/v/v/v,10
/v/d/v/r/v,5
/v/d/v/v/v,36
/v/u/v/v/u,5
/v/v/u/v/v,39
/v/v/n/n/n,15
/n/n/v/n/v,22
/n/r/v/v/v,4
/n/v/n/v/n,8
/n/v/n/v/v,16
/n/v/v/n/n,7
/d/n/r/v/v,3
/n/v/r/v/v,6
/u/n/r/v/v,6
/v/n/n/v/r,6
/a/nd/u/v/u,4
/d/n/v/r/p,4
/d/n/v/v/v,16
/d/u/n/d/n,4
/d/u/n/v/d,4
/n/a/v/r/u,4
/n/u/d/v/v,4
/q/v/v/v/u,4
/v/r/p/v/d,4
/v/u/r/p/n,4
/v/v/v/u/n,15
/v/v/v/u/u,4
/a/a/d/v/u,2
/a/a/v/n/d,2
/a/a/v/v/d,2
/v/v/n/v/n,17
/v/n/v/r/v,6
/n/v/n/u/n,5
/n/v/v/v/n,21
/r/v/r/v/v,5
/u/v/v/a/v,5
/v/v/v/v/a,5
/d/n/v/v/n,4
/v/v/v/v/u,17
/v/v/v/u/v,33
/v/v/v/r/v,15
/v/v/v/v/r,20
/r/v/v/v/v,14
/v/r/n/v/v,8
/v/r/v/r/v,8
/a/d/n/ws/ws,5
/v/a/d/n/ws,5
/v/r/r/v/v,5
/ws/v/a/d/n,5
/n/r/u/v/v,5
/r/u/v/v/n,4
/r/v/v/r/v,4
/v/n/d/n/v,4
/v/n/d/r/v,4
/v/r/v/u/v,4
/v/u/d/v/v,4
/v/v/m/u/v,4
/v/v/r/v/u,4
/d/v/v/v/u,11
/u/v/v/d/v,4
/v/n/v/v/r,4
/n/n/v/v/v,22
/d/v/d/v/v,8
/n/v/v/u/n,8
/u/v/n/v/v,6
/v/u/v/n/v,6
/d/r/u/v/v,4
/d/u/u/r/v,4
/n/v/d/v/n,4
/n/v/v/d/v,4
/n/v/v/n/d,4
/v/v/n/u/v,5
/v/v/r/v/n,4
/d/n/n/n/v,3
/n/r/n/v/v,3
/n/v/d/n/n,3
/u/d/n/v/v,3
/u/v/n/u/v,3
/u/v/n/v/n,3
/n/d/v/v/n,4
/n/v/n/v/d,4
/v/n/u/u/n,4
/v/v/u/v/u,4
/v/v/v/n/n,4
/d/v/d/v/n,3
/d/v/v/v/n,3
/v/v/u/r/v,7
/v/v/v/u/r,6
/d/v/v/v/r,5
/d/u/v/v/u,4
/n/v/v/u/v,11
/u/v/v/n/d,5
/v/n/v/n/v,5
/n/p/v/v/n,4
/n/v/d/v/d,4
/u/r/v/v/d,4
/v/d/v/n/v,4
/v/n/d/v/v,4
/v/v/v/d/v,7
/n/n/n/n/n,9
/u/v/v/v/u,5
/d/n/d/v/n,4
/d/v/u/v/v,4
/n/d/v/u/v,4
/r/n/r/v/v,4
/v/d/u/d/v,4
/v/d/v/d/v,4
/v/v/v/u/d,8
/v/u/d/u/v,6
/n/d/v/v/v,5
/v/u/v/d/v,5
