词性,出现次数
/v/v/v/v,327
/n/n/v/v,55
/n/v/v/v,203
/v/n/v/n,157
/v/n/v/v,214
/v/v/n/v,257
/v/n/n/v,76
/n/v/v/n,90
/v/n/d/v,43
/v/u/n/v,22
/v/v/v/n,163
/d/v/v/v,36
/v/v/d/v,43
/u/v/v/v,74
/v/u/v/v,80
/n/v/n/v,123
/u/v/n/v,20
/u/v/u/v,11
/v/n/u/v,20
/v/u/v/u,11
/v/v/n/n,50
/d/v/v/n,27
/u/v/v/n,30
/v/n/n/n,37
/n/n/v/n,41
/v/v/d/n,14
/n/n/n/n,50
/n/n/n/v,42
/n/v/v/d,21
/v/v/u/v,26
/n/u/v/n,8
/r/v/v/v,8
/v/u/v/n,18
/v/v/v/r,26
/v/v/v/u,47
/n/v/u/v,28
/v/r/r/v,16
/v/r/v/v,40
/v/v/r/v,30
/d/n/v/n,6
/d/nh/v/v,6
/n/v/v/u,13
/v/v/v/d,28
/d/v/n/v,13
/v/d/v/v,31
/v/v/n/d,17
/v/d/v/n,9
/v/n/v/d,10
/n/v/d/n,8
/n/v/u/d,8
/v/d/n/v,19
/ws/ws/ws/ws,10
/n/d/v/v,8
/v/r/v/r,11
/v/n/v/r,10
/n/u/n/v,12
