词性,出现次数
/n/v/v/v/v,98
/v/v/v/v/v,246
/v/n/v/v/v,85
/v/v/n/v/v,110
/n/v/n/v/v,60
/v/v/u/v/n,25
/n/n/v/v/v,35
/v/n/n/v/v,51
/v/v/v/n/v,110
/v/v/v/v/n,125
/d/v/v/v/v,45
/d/u/n/v/v,4
/v/u/n/v/v,15
/v/v/v/v/d,9
/v/v/v/v/u,33
/d/v/v/r/v,7
/n/d/v/u/v,3
/n/d/v/v/u,3
/n/v/u/v/v,15
/v/v/d/v/v,23
/v/v/r/n/v,4
/d/r/v/n/v,3
/d/r/v/r/v,3
/d/v/v/v/u,3
/n/u/v/v/v,3
/n/v/v/d/v,18
/n/v/v/n/v,41
/v/u/v/v/v,39
/v/v/u/v/v,55
/u/v/v/r/v,5
/u/v/v/v/v,37
/v/v/r/v/v,24
/v/v/v/u/v,14
/d/n/v/u/v,4
/d/u/v/v/v,4
/v/n/n/n/n,5
/v/v/n/n/v,45
/n/n/v/v/n,8
/n/v/r/u/r,4
/n/v/v/n/n,4
/v/n/n/v/n,21
/n/n/v/n/v,23
/v/u/u/n/d,5
/v/v/n/v/n,41
/v/v/v/n/n,29
/u/v/u/v/u,8
/d/v/d/v/r,6
/d/v/n/d/u,6
/d/v/p/v/v,6
/n/v/v/u/v,20
/v/v/q/v/v,6
/u/n/v/v/u,6
/v/n/v/u/n,5
/v/r/v/v/v,21
/d/v/n/v/v,4
/d/v/v/u/v,4
/n/d/u/v/n,4
/n/r/u/v/r,4
/v/d/v/v/v,34
/n/v/v/v/n,60
/v/v/v/v/r,11
/n/n/v/v/u,10
/u/n/v/v/v,20
/v/n/d/n/v,6
/v/v/v/d/v,54
/n/v/v/u/n,12
/u/v/v/n/v,20
/v/u/nd/v/v,5
/u/u/n/v/v,4
/n/d/n/v/n,8
/n/v/r/u/v,3
/r/v/v/n/v,7
/v/d/v/r/v,4
/d/v/v/v/n,15
/n/n/n/v/v,14
/v/d/v/n/v,13
/v/n/u/v/v,17
/v/nd/v/r/v,3
/v/v/n/u/d,3
/v/v/r/v/u,3
/v/v/u/d/u,3
/v/n/v/v/d,6
/d/u/v/n/n,5
/u/v/n/n/n,11
/v/n/v/d/n,5
/v/v/v/d/n,10
/d/n/n/d/n,4
/d/n/n/n/n,4
/v/n/v/v/n,22
/d/n/d/v/u,3
/d/n/v/n/v,7
/d/v/n/n/v,3
/n/d/v/v/d,3
/u/n/d/u/v,3
/v/n/v/n/v,30
/v/v/v/n/r,8
/n/v/n/v/n,18
/n/v/v/d/n,7
/n/v/n/n/v,7
/n/n/v/u/v,3
/n/v/u/u/v,8
/n/d/v/v/v,20
/r/n/v/v/v,9
/v/v/n/n/n,4
/d/v/v/n/u,2
/n/n/n/n/v,5
/n/v/n/d/v,2
/n/v/r/nt/r,2
/u/u/n/n/v,2
/u/u/r/r/d,2
/v/n/v/n/d,2
/a/a/a/d/d,1
/a/a/a/n/m,1
/d/v/v/r/n,4
/n/n/r/v/v,4
/r/n/n/v/n,4
/v/u/v/n/r,4
/v/v/d/v/n,27
/r/v/v/v/v,16
/v/u/v/a/v,3
/d/n/n/r/n,2
/d/n/v/r/u,2
/v/n/n/n/v,7
/v/v/v/u/n,6
/n/v/d/v/v,8
/v/u/n/d/v,5
/v/u/n/v/n,5
/v/u/v/v/n,15
/m/v/v/v/v,4
/v/v/n/u/v,10
/i/r/v/n/v,4
/n/d/v/n/n,8
/n/n/n/n/n,30
/n/n/n/n/u,8
/n/n/n/u/n,6
/n/u/n/n/v,6
/r/v/n/v/v,6
/u/n/n/n/n,6
/u/v/u/r/u,6
/n/v/u/v/d,8
/a/n/n/n/v,2
/a/v/n/v/v,7
/v/v/v/r/v,12
/v/n/r/v/v,4
/d/n/n/v/v,5
/n/r/v/v/v,5
/v/r/v/d/u,5
/n/r/n/v/v,4
/r/n/v/v/r,4
/d/v/d/v/v,4
/d/v/v/u/r,4
/n/d/u/v/u,4
/r/u/v/v/v,7
/u/v/n/r/v,4
/d/n/v/v/v,6
/r/v/v/v/r,6
/v/r/r/v/d,6
/c/v/v/d/v,5
/v/n/v/u/v,5
/v/v/d/d/n,5
/v/v/n/v/u,6
/v/n/v/n/n,5
/n/v/u/n/v,4
/n/v/v/v/u,13
/u/u/v/v/v,8
/n/v/v/v/d,7
/v/v/v/n/d,6
/n/a/v/v/v,4
/r/v/n/r/v,4
/n/n/n/v/n,5
/v/v/v/r/u,5
/n/u/n/v/v,4
/u/n/v/v/n,4
/u/v/v/r/n,4
/v/v/r/u/r,4
/c/v/v/n/v,3
/d/n/d/v/v,4
/n/v/n/r/v,4
/u/u/v/v/n,4
/v/u/u/v/n,4
/v/r/n/v/v,5
/n/v/u/r/n,3
/a/v/n/u/v,2
/a/v/v/nh/v,2
/m/v/v/v/n,6
/v/u/u/v/v,6
/u/v/n/v/v,8
/v/u/v/n/v,8
/d/u/n/v/n,4
/n/r/v/n/u,4
/u/r/r/r/v,4
/u/v/d/v/v,5
/n/v/d/n/v,4
/r/v/v/d/v,4
/u/n/v/v/d,6
/v/v/v/u/d,6
/a/v/v/v/u,4
/c/v/u/n/v,4
/d/d/v/nh/u,4
/v/n/v/v/u,6
/d/r/v/v/v,5
/v/v/n/v/d,5
/r/v/v/v/n,5
/n/v/v/v/r,4
/v/n/u/n/v,4
/d/v/u/v/v,3
/m/v/n/v/n,3
