词性,出现次数
/v/v/v/v,906
/v/v/v/r,86
/n/v/v/v,506
/v/n/v/n,429
/d/v/v/v,112
/v/d/v/v,134
/v/v/v/n,622
/d/v/n/v,47
/v/v/d/v,57
/v/n/v/v,613
/n/v/n/n,144
/n/v/n/v,432
/d/n/v/n,7
/n/d/n/v,7
/n/v/d/v,26
/v/v/u/v,153
/d/v/v/n,45
/n/v/v/n,293
/u/v/v/v,128
/v/n/n/v,181
/v/v/n/n,160
/v/v/v/d,74
/v/u/v/v,142
/v/v/n/v,673
/u/v/v/n,10
/n/v/u/v,9
/v/d/v/u,17
/u/v/d/v,8
/v/n/v/r,19
/v/r/v/v,69
/v/v/r/v,89
/r/v/v/v,95
/n/v/v/u,40
/r/v/r/v,9
/v/d/n/v,31
/n/u/v/n,18
/v/n/v/u,26
/v/v/v/u,72
/d/n/v/v,38
/n/n/v/v,106
/n/n/v/n,133
/n/n/n/n,102
/v/r/v/d,11
/v/v/n/u,18
/u/v/n/v,28
/v/n/n/n,22
/v/u/v/u,12
/v/v/r/n,18
/v/a/v/v,16
/v/d/u/v,18
/u/n/v/v,16
/v/n/n/d,7
/d/u/v/n,6
/v/v/d/n,19
/n/n/n/v,39
/v/n/v/d,23
/v/d/v/nh,9
/v/v/n/d,23
/d/v/n/d,6
/v/d/v/n,6
/v/n/d/n,6
/v/n/n/u,11
/v/n/d/v,9
/n/v/n/u,8
/u/v/v/d,8
/n/d/u/v,7
/r/v/n/v,28
/ws/ws/ws/ws,45
/n/v/d/u,9
/n/u/n/v,8
/n/v/v/d,16
/u/v/v/r,7
/v/u/v/n,29
/v/u/r/v,9
/n/d/v/v,8
/v/n/u/v,14
/v/n/r/v,8
/u/v/u/v,9
/m/v/n/v,8
/v/u/d/v,8
/v/v/n/r,8
/v/r/v/n,7
