词性,出现次数
/v/n/v/v,4632
/v/v/n/v,4372
/v/v/v/n,3755
/n/v/v/n,1859
/v/v/n/n,806
/v/n/n/v,1262
/n/n/v/n,387
/n/v/n/n,439
/v/v/v/v,6318
/n/n/v/v,789
/n/v/n/v,2078
/n/v/v/v,3704
/n/d/n/v,31
/v/n/v/n,2068
/v/n/u/v,115
/v/u/v/v,1568
/u/v/v/v,1244
/v/v/u/v,1269
/v/v/v/u,1101
/n/v/u/v,219
/u/v/n/v,237
/v/v/v/r,468
/d/v/n/v,146
/n/r/v/v,8
/n/v/d/v,67
/v/v/n/d,52
/v/v/d/v,599
/n/u/v/n,26
/r/v/v/v,633
/u/v/v/n,90
/v/v/u/d,36
/v/n/d/v,120
/d/v/v/v,712
/v/d/u/v,29
/v/n/v/d,112
/v/d/v/v,574
/d/n/v/v,118
/v/v/r/v,657
/r/v/n/v,73
/v/v/v/d,708
/v/r/v/v,588
/r/r/v/v,23
/r/d/r/v,10
/v/r/r/n,15
/n/v/v/r,43
/r/v/n/r,8
/v/d/r/r,8
/v/n/r/v,13
/a/v/r/v,6
/d/r/r/v,6
/d/r/v/u,6
/u/v/u/v,78
/v/n/n/n,218
/n/n/n/v,112
/v/n/v/u,333
/v/u/r/v,36
/n/u/v/v,77
/v/d/v/n,66
/n/d/v/n,51
/v/n/v/r,30
/v/u/v/n,207
/v/d/n/v,59
/d/d/n/v,6
/v/r/n/n,6
/v/v/u/r,27
/n/v/r/v,30
/n/v/v/d,43
/n/d/v/v,48
/v/v/u/n,26
/v/v/n/u,86
/v/v/d/u,13
/n/v/v/u,154
/d/v/v/n,78
/v/u/v/r,30
/n/n/n/n,196
/ws/ws/ws/ws,154
/n/v/n/u,12
/v/r/r/v,8
/u/v/v/u,39
/v/u/d/u,6
/v/v/r/r,17
/n/v/u/r,5
/r/v/v/n,44
/d/u/v/v,24
/n/v/d/n,46
/d/u/v/n,19
/v/r/v/r,27
/r/v/r/v,14
/b/b/c/v,11
/b/c/v/n,11
/c/v/n/n,11
/n/v/n/d,28
/d/n/v/n,29
/v/v/d/n,48
/n/v/d/d,12
/v/d/d/v,12
/n/n/v/d,12
/v/u/n/v,54
/r/v/n/n,14
/v/n/r/n,14
/n/v/n/r,12
/r/v/u/v,11
/n/a/u/v,4
/n/r/v/n,12
/u/v/n/n,21
/r/v/v/r,14
/u/n/u/v,13
/v/v/a/v,13
/u/n/v/v,15
/a/a/nd/v,3
/d/v/v/u,3
/m/n/v/u,3
/m/nd/v/u,3
/n/v/u/u,3
/d/v/v/r,25
/r/u/v/v,25
/v/v/r/u,24
/v/r/v/u,32
/v/u/r/u,8
/n/v/u/n,29
/v/u/v/u,64
/u/v/r/v,8
/v/r/v/n,12
/v/n/d/n,22
/nd/u/o/nd,10750
/o/nd/u/o,10750
/u/o/nd/u,10750
/d/v/n/u,4
/n/n/u/d,4
/r/v/r/r,4
/r/d/v/v,13
/a/v/v/v,12
/v/d/v/u,17
/d/u/d/u,4
/d/v/r/d,4
/d/v/u/c,4
/d/v/u/v,15
/n/d/u/d,4
/r/d/n/r,4
/u/d/n/v,4
/u/d/u/c,4
/u/d/v/u,4
/v/r/n/v,16
/d/v/d/v,9
/n/n/m/n,13
/u/v/v/r,12
/v/u/d/n,4
/d/n/n/v,3
/d/v/a/v,3
/d/v/n/p,3
/u/u/v/v,16
/v/r/u/v,11
