词性,出现次数
/v/v/v/v/v,2176
/v/v/v/n/v,734
/n/v/v/n/n,179
/v/v/v/v/r,108
/d/v/n/v/n,56
/n/n/n/n/n,279
/n/u/v/v/v,96
/r/v/v/v/v,158
/u/v/v/v/v,297
/v/n/v/n/v,414
/u/m/n/v/v,3
/u/v/n/v/v,87
/v/n/n/v/n,124
/v/v/v/u/v,197
/v/v/v/v/u,220
/d/n/v/v/v,192
/d/v/d/u/v,11
/d/v/n/n/v,29
/d/v/n/q/v,2
/n/c/d/v/n,2
/v/d/n/v/u,10
/v/v/v/v/n,733
/n/v/v/v/v,891
/r/v/v/r/n,6
/v/u/u/v/v,22
/v/v/v/d/v,203
/v/v/v/n/n,201
/n/n/v/v/n,210
/v/v/n/v/v,795
/n/n/n/v/n,122
/v/n/n/n/v,76
/v/n/v/n/n,127
/v/n/v/v/v,886
/d/v/v/v/v,479
/n/n/d/v/v,47
/d/u/n/n/v,8
/n/n/n/n/u,6
/n/n/n/u/n,18
/n/n/u/n/v,9
/n/n/v/n/v,193
/u/n/d/n/n,3
/u/n/v/u/n,3
/v/d/n/u/v,14
/v/u/v/v/u,24
/v/v/n/v/n,313
/n/d/v/v/v,203
/v/v/n/n/n,78
/n/n/n/d/v,16
/n/n/v/u/v,45
/n/v/d/a/v,3
/n/v/u/u/u,4
/d/u/d/v/v,30
/n/d/v/v/r,9
/n/v/d/v/d,14
/n/v/v/v/r,21
/r/d/r/v/n,3
/r/u/v/v/v,17
/v/n/n/v/v,261
/n/v/v/v/n,446
/v/v/n/n/v,248
/v/v/v/v/d,282
/n/v/n/v/v,470
/v/u/v/n/v,120
/v/d/v/v/n,85
/v/v/d/v/v,228
/d/v/v/v/n,125
/nh/v/v/v/a,3
/r/nh/v/v/v,3
/u/v/n/v/d,3
/v/d/v/d/n,4
/d/n/r/v/v,24
/d/u/v/u/v,20
/u/n/v/d/n,3
/v/v/d/v/n,53
/a/d/v/v/nd,4
/a/n/v/r/d,4
/c/d/v/v/n,2
/d/a/d/v/v,2
/d/d/nd/v/n,2
/n/v/n/n/n,76
/v/d/v/v/v,260
/v/v/n/d/v,126
/a/v/r/n/v,3
/m/v/v/u/d,3
/n/n/r/n/v,19
/n/v/n/d/n,54
/v/v/n/v/u,70
/n/v/n/n/v,161
/n/n/n/n/d,14
/v/v/u/v/n,84
/d/v/n/u/v,17
/n/nh/v/n/v,3
/v/v/v/n/u,34
/c/p/n/v/v,2
/d/n/n/u/n,2
/d/n/r/v/r,2
/v/d/n/v/v,90
/d/n/n/v/n,27
/d/v/v/n/v,155
/n/v/n/d/v,73
/n/v/n/v/n,274
/n/v/u/n/n,23
/n/v/v/d/n,58
/n/d/v/n/v,48
/d/r/v/n/v,6
/n/a/m/n/v,3
/n/r/v/v/v,73
/v/d/u/v/u,6
/v/n/r/n/v,3
/v/v/n/u/v,32
/v/v/nh/d/r,3
/v/v/v/n/r,36
/u/n/v/v/v,91
/v/u/n/v/v,71
/d/n/v/d/p,3
/d/v/v/d/u,9
/n/r/v/v/d,12
/n/v/u/v/v,97
/n/v/v/q/v,9
/r/n/n/v/n,10
/v/v/r/v/v,128
/d/v/a/v/v,3
/n/r/v/v/r,6
/n/v/r/v/q,3
/n/v/v/d/u,29
/q/v/v/v/v,9
/v/d/n/d/n,3
/v/n/d/u/v,14
/v/n/v/u/v,80
/v/n/v/v/n,294
/n/v/n/u/u,9
/p/v/v/n/v,7
/v/r/v/v/v,147
/v/v/a/v/v,16
/d/n/d/u/v,3
/v/v/v/u/n,34
